"","condition","ResSE_sib0mean","ResSE_sib1mean","ResSE_sib2mean","ResSE_sib3mean","ResSE_df_sib0mean","ResSE_df_sib1mean","ResSE_df_sib2mean","ResSE_df_sib3mean","ResSD_MLM0mean","ResSD_MLM1mean","ResSD_MLM2mean","ResSD_MLM3mean","ResSD_MLM4mean","ResSD_MLM5mean","ResSD_MLM6mean","RMSE_sib0mean","RMSE_sib1mean","RMSE_sib2mean","RMSE_sib3mean","RMSE_MLM0mean","RMSE_MLM1mean","RMSE_MLM2mean","RMSE_MLM3mean","RMSE_MLM4mean","RMSE_MLM5mean","RMSE_MLM6mean"
"1",1,1.68502457883913,1.694313887935,1.66564664015622,1.68648151071475,25,24,24,22,3.25235249744649,0.983550955969523,0.982926298476924,1.38878440928148,1.38794659684384,1.37958224504799,1.38646226811942,1.53820995296805,1.51544041145785,1.48979964555338,1.4442164829833,2.96388546461972,0.782677830755503,0.773758416057368,1.18933896411885,1.17870076381137,1.23273062312218,1.21975741055575
"2",2,1.70810908161746,1.7101143110149,1.69107908871646,1.69526149055143,115,114,114,112,3.3144820624931,0.998407830277044,0.998409346297169,1.41169519836334,1.41160077547474,1.41135536340122,1.41345568638982,1.67214486262147,1.66681324955769,1.64826000985263,1.6377781961925,3.0347258364206,0.802239977380807,0.800094378582497,1.22094771613992,1.21809905777513,1.28552463608413,1.28291160455808
"3",3,1.71628495445494,1.71683532535648,1.70019699350931,1.70136399624601,505,504,504,502,3.31778179918205,0.998856346049325,0.998791696770149,1.41584940772182,1.41582005499956,1.41581125667563,1.4163022695218,1.70785107071501,1.70670641497841,1.69016624523778,1.687967220872,3.03180769691468,0.803723171692003,0.80313767253263,1.22583296110429,1.22518979895194,1.29174927702763,1.29113216969003
"4",4,1.69559514269103,1.70413030333174,1.67722033223063,1.69695130168001,25,24,24,22,3.27943322514691,1.00073560856927,1.00060890593446,1.40406638025581,1.40175332303518,1.39528691844662,1.39982211913772,1.54785951341345,1.52422048030684,1.50015147044499,1.45318227631655,2.78704179832958,0.776614290296297,0.767728127776499,1.20679596485323,1.19402023287856,1.24974278743281,1.23421921678778
"5",5,1.71675859640331,1.71877217659013,1.69902140965157,1.70325781763073,115,114,114,112,3.31112826609718,0.996625458233762,0.996523945339825,1.41028199790059,1.41030232900286,1.41026641281279,1.41221871146075,1.68061226196322,1.67525189308036,1.65600122673013,1.64550338207862,2.80305966531515,0.779531225221924,0.777179410302151,1.21834336137536,1.21582526267132,1.28274770120925,1.28022040178351
"6",6,1.71661704920381,1.71717771213597,1.70039680438452,1.70145919720823,505,504,504,502,3.31650162449656,1.00166627658806,1.0016348668244,1.41812352619871,1.4180415176844,1.41810412894605,1.41845455242196,1.70818153353878,1.70704678175927,1.69036487727748,1.68806167220867,2.8046515649907,0.786454104898001,0.785893390074165,1.22853626334983,1.22781329295904,1.29510938773733,1.29434983725563
"7",7,1.69574529883791,1.70604914060781,1.67581439753032,1.6990882102512,25,24,24,22,3.27780932103582,0.99014203409964,0.988882383111758,1.41283772456619,1.41180763310655,1.40423011382772,1.40721073385196,1.54799658659477,1.52593674054166,1.49889396422026,1.45501221548963,2.44951173973661,0.713677567891116,0.702279356848342,1.21904605924308,1.2095229544183,1.26120124674019,1.24479063884997
"8",8,1.70289759759833,1.70555420115338,1.68617423607865,1.69101724541975,115,114,114,112,3.30614007401923,0.993885405588216,0.993459096654453,1.40757288991354,1.40735645367492,1.40732295617818,1.40783340987376,1.66704310634431,1.6623686042567,1.6434793508574,1.63367786584541,2.46625164821851,0.728087158334263,0.725134394855349,1.21654270145697,1.21437304912668,1.28005173722566,1.27620469942419
"9",9,1.71036428156843,1.71081512748321,1.69429739816376,1.69523795618912,505,504,504,502,3.3079895654562,0.998005266581817,0.998034096188859,1.41320623295962,1.41316769860193,1.41321202599359,1.41331842965246,1.70195949222024,1.7007217348067,1.68430145606824,1.68188941810163,2.46501206531335,0.734453444544438,0.733860096091316,1.22370270026629,1.22315644115141,1.28955595062789,1.28861142866611
"10",10,2.27886956065351,2.2826289577998,2.23554151536715,2.26970135997273,25,24,24,22,4.30813222029172,0.98756399026043,0.987019093316136,3.10693531724976,3.09721735649509,2.58179493233935,2.60250311748438,2.08031377330302,2.04164540681994,1.99952911795353,1.94365612353082,3.93522685836457,0.73147130394921,0.721331806620969,2.87339894798721,2.83783496007598,2.49425086972881,2.46895124068183
"11",11,2.40024330539901,2.40195779334085,2.36378815494493,2.37232726302523,115,114,114,112,4.3479414642931,0.995286868869387,0.994949701145497,3.14655603032378,3.1455970763686,2.55544497768092,2.55962435345217,2.34970620750051,2.34113886366044,2.30393570209436,2.29188587558367,3.97218902135388,0.749700415801904,0.746969598272728,2.9876639531237,2.9800401174367,2.53406012492247,2.52742653899491
"12",12,2.4109371182988,2.41128967329799,2.37506198569343,2.37700573492042,505,504,504,502,4.35852862334274,0.999616143664374,0.999710117987657,3.16003857258028,3.16001188484242,2.55069455002345,2.55155476957256,2.39908968975424,2.39706365136352,2.36104969829455,2.35828886306716,3.98232303809139,0.756420592814432,0.755925311243629,3.02275000872051,3.02126160430106,2.54568827522678,2.54403912800527
"13",13,2.30365105049795,2.30524463883662,2.26460003575016,2.29364281248655,25,24,24,22,4.36197035062392,0.991518662438516,0.990925086423482,3.10263503909868,3.09332485869697,2.58495086397231,2.60524309496751,2.10293607496367,2.06187348688225,2.02551984871432,1.96415835858489,3.71886790598383,0.704844708729453,0.693604230634638,2.86338889667953,2.82935977164769,2.49727278323194,2.47140589139674
"14",14,2.39166712664876,2.39359735675596,2.35804958894879,2.36701654068286,115,114,114,112,4.35908999000131,0.99634591019842,0.996466451867182,3.14299280067661,3.14247860614743,2.55077536697722,2.55543118412799,2.34131060010489,2.33299011805786,2.29834243983452,2.2867552303665,3.69372064622477,0.723184678372803,0.720594985045392,2.98319809062955,2.97675432100835,2.52942959114596,2.52328611603866
"15",15,2.41157417796855,2.41203142879071,2.37491217190764,2.37691033266334,505,504,504,502,4.35410434577482,0.999037738096686,0.999083029598755,3.15930319092128,3.15903005480938,2.5509503654894,2.55194189324989,2.3997236188907,2.39780103067944,2.36090076837361,2.35819421202064,3.67932226277864,0.728874635440098,0.728278671355719,3.0200258415891,3.01814643440222,2.54594358860104,2.5444251114042
"16",16,2.2529539591011,2.2569792754719,2.21692348567966,2.25083705894994,25,24,24,22,4.35410133973031,0.991052671055257,0.991070091355248,3.09961469827573,3.09136259110212,2.58200707824688,2.60720426995069,2.05665617403374,2.01870363350536,1.9828766459582,1.92750170125937,3.25648709775819,0.683243821724515,0.671431876910853,2.86346345126668,2.83131451944991,2.49445582214689,2.4734111455082
"17",17,2.38794230178482,2.38918143770497,2.35223967581279,2.36038964456816,115,114,114,112,4.35610636029558,0.999799738257487,0.999752518503757,3.14893667311276,3.14831857321562,2.56027673138339,2.56547452536921,2.33766420138982,2.32868601257454,2.29267963698474,2.28035304048276,3.24870229190784,0.705980602409125,0.703033325517041,2.99340882525637,2.98672920657359,2.53885144482871,2.53320312091439
"18",18,2.41055784265702,2.41092631838153,2.37440255211381,2.37634273916338,505,504,504,502,4.34737953280259,0.999417874148746,0.999344581949226,3.155379752094,3.15528099600492,2.5481652703697,2.54944374588521,2.39871227788612,2.39670244015259,2.36039415521247,2.3576310878304,3.240093977553,0.709917480328864,0.709183727365734,3.01277990156838,3.01116819994006,2.54316395981658,2.5419343223688
"19",19,1.68564948332204,1.68900309164811,1.65828435320621,1.66911379000024,25,24,24,22,5.86396967352351,0.993379038282738,0.992432302021894,4.95024111209982,4.92224891657956,3.86953165297491,3.90195271890373,1.53878041010401,1.51069029085299,1.48321461591734,1.42934365552069,5.3567397882966,0.70634540528308,0.694828088983498,4.61584713289858,4.54075077930107,3.73832273430431,3.70171737420676
