"","condition","ICC_MLM0mean","pseudo_ICC_MLM1mean","pseudo_ICC_MLM2mean","pseudo_ICC_MLM3mean","pseudo_ICC_MLM4mean","pseudo_ICC_MLM5mean","pseudo_ICC_MLM6mean","CN","beta1","beta2","beta3","ICC"
"1",1,0.212985921277866,0.524906785612539,0.524695821388785,0.334959510949389,0.334607161093135,0.204727131739793,0.198445552426319,30,0.3,0.1,0,0.2
"2",2,0.197232427710296,0.534724348469454,0.534704900965012,0.330328106273012,0.330490254968249,0.195676048300573,0.193968907517927,120,0.3,0.1,0,0.2
"3",3,0.19881487758207,0.541309202611833,0.541397138855451,0.332597222329984,0.332560646233821,0.199257054634883,0.198857783009302,510,0.3,0.1,0,0.2
"4",4,0.397842248033048,0.598728269368238,0.598212896589798,0.328424450742924,0.330429781184933,0.199702288996711,0.195193228142813,30,0.3,0.1,0,0.4
"5",5,0.398913270115668,0.618276515669899,0.618350348642964,0.333550033704606,0.333654410348867,0.199230974971704,0.197486283240024,120,0.3,0.1,0,0.4
"6",6,0.399041121712011,0.618502810048957,0.618511547371404,0.331245970363769,0.331378727365119,0.196949581425901,0.196690730185537,510,0.3,0.1,0,0.4
"7",7,0.791634395245241,0.837116926083436,0.837452283312243,0.323316155154854,0.323961731306467,0.196232041052163,0.193745940204017,30,0.3,0.1,0,0.8
"8",8,0.797548495194058,0.841894880740819,0.842039848799831,0.333990957871311,0.334059234723572,0.200260935897706,0.199681058148556,120,0.3,0.1,0,0.8
"9",9,0.800997574268275,0.841492080431533,0.841481816427368,0.332590569627809,0.332682344793946,0.198961785119737,0.19888884423331,510,0.3,0.1,0,0.8
"10",10,0.207363398172842,0.7347715369635,0.734775808542189,0.136160517397221,0.140228663312259,3.96199144731581e-19,0,30,0.3,0.3,0,0.2
"11",11,0.202240692652423,0.741049641162462,0.741225805817243,0.103104749270546,0.103662262753972,0,0,120,0.3,0.3,0,0.2
"12",12,0.1989455561494,0.741362501344072,0.74131964542017,0.0920727721514461,0.0920879596448112,0,0,510,0.3,0.3,0,0.2
"13",13,0.385582660091831,0.868893172230199,0.868959236476399,0.140297394311549,0.143806921607484,2.66786888533482e-05,0.000175332775793663,30,0.3,0.3,0,0.4
"14",14,0.395252470571512,0.871506140098659,0.871467676146943,0.104362308454858,0.104420316086235,0,0,120,0.3,0.3,0,0.4
"15",15,0.401045000367953,0.872474864823865,0.872464414733128,0.0934431237099671,0.0935957415693558,0,0,510,0.3,0.3,0,0.4
"16",16,0.788646071708122,0.974459090035269,0.974419907046019,0.13901513787742,0.141874853819804,0,3.4695448370238e-18,30,0.3,0.3,0,0.8
"17",17,0.798082530899433,0.974580566473357,0.974581797326007,0.101202089735535,0.101457309114741,0,0,120,0.3,0.3,0,0.8
"18",18,0.800352281277968,0.974670368543458,0.974674058749403,0.0962564707398308,0.0963694867794431,0,0,510,0.3,0.3,0,0.8
"19",19,0.20740020189213,0.865728968327859,0.86588260944002,0.115697719735653,0.124388914710094,0,0,30,0.3,0.5,0,0.2
"20",20,0.20579415670973,0.86937777202457,0.869318838788761,0.0645872887273737,0.0655482868143978,0,0,120,0.3,0.5,0,0.2
"21",21,0.202171209481276,0.869859101734702,0.869874771024842,0.0440210968199168,0.044074994161115,0,0,510,0.3,0.5,0,0.2
"22",22,0.39807315509917,0.944659965628721,0.944566531221064,0.111797429253468,0.119360641228913,0,0,30,0.3,0.5,0,0.4
"23",23,0.402321295291917,0.945335065160807,0.945348052948632,0.0648864525793283,0.0655279256807007,0,0,120,0.3,0.5,0,0.4
"24",24,0.398504615951151,0.945720422863097,0.945726422399578,0.0420003325349584,0.0420813198599829,0,0,510,0.3,0.5,0,0.4
"25",25,0.796306880038087,0.990275669015697,0.990260944729441,0.112336354753948,0.116990384171251,0,0,30,0.3,0.5,0,0.8
"26",26,0.797147413902405,0.990458556786625,0.990454417197452,0.0586092748051283,0.0591854345896433,0,0,120,0.3,0.5,0,0.8
"27",27,0.799439193751854,0.990400684184369,0.990401670840434,0.0434649636376072,0.0434895174967072,0,0,510,0.3,0.5,0,0.8
"28",28,0.206340981763171,0.368021857304306,0.492570435144077,0.258592822067611,0.260854875764466,0.164795945139259,0.19659969709785,30,0.3,0.1,0.1,0.2
"29",29,0.195633148528616,0.371017954426014,0.502481680389862,0.248835617947859,0.249189829585322,0.144102345858531,0.185972157034796,120,0.3,0.1,0.1,0.2
"30",30,0.199009401911492,0.374841800897441,0.506072007293559,0.249616298744415,0.24976705017489,0.142064935587088,0.185108400115019,510,0.3,0.1,0.1,0.2
"31",31,0.384142078818524,0.458950480308081,0.54527691306865,0.255147464450837,0.256308852409419,0.16204755770377,0.20517984861469,30,0.3,0.1,0.1,0.4
"32",32,0.400024925815462,0.458078063575999,0.54523004810334,0.249231943910624,0.249800289993535,0.143911411432637,0.198324676644735,120,0.3,0.1,0.1,0.4
"33",33,0.398589758336499,0.458688526343833,0.544175413704015,0.249828911472091,0.249871271796565,0.142658528117203,0.200108197216925,510,0.3,0.1,0.1,0.4
"34",34,0.791501443783724,0.737122566565342,0.75587882975956,0.248078590767972,0.249660564849342,0.149117824136799,0.183634040524879,30,0.3,0.1,0.1,0.8
"35",35,0.796169230199085,0.738534593186589,0.757172542288695,0.249264202440244,0.249813527987613,0.142913445730543,0.177344287545021,120,0.3,0.1,0.1,0.8
"36",36,0.799520072363932,0.739482265938172,0.756676585026192,0.249030333142595,0.248963424785602,0.140987862483292,0.173635186060599,510,0.3,0.1,0.1,0.8
"37",37,0.210939756619927,0.595131315430491,0.715722072938261,0.138857748062432,0.144861918688513,0.000285915429566125,0.000582449066991017,30,0.3,0.3,0.1,0.2
"38",38,0.203845108396813,0.601378667861961,0.717560529657648,0.0976148783122643,0.0981540804497419,0,0,120,0.3,0.3,0.1,0.2
"39",39,0.199295641732244,0.599265818545705,0.716039569662276,0.0859522777940914,0.085924584999232,0,0,510,0.3,0.3,0.1,0.2
"40",40,0.395434830200816,0.780914994403498,0.835031871024646,0.139482486067562,0.143596814999716,0.000119038683176162,3.43624901738255e-05,30,0.3,0.3,0.1,0.4
"41",41,0.39312187189452,0.782502174716932,0.836860743088324,0.0980509900289118,0.098420077520819,0,0,120,0.3,0.3,0.1,0.4
"42",42,0.400214718712038,0.78193223889739,0.836183971716604,0.0841237070091233,0.0841820203939116,0,0,510,0.3,0.3,0.1,0.4
"43",43,0.792272764110998,0.953214135208567,0.957666737241673,0.143232458765665,0.147963775179254,9.14348193886737e-05,0.00037572777562385,30,0.3,0.3,0.1,0.8
"44",44,0.798962732063743,0.95300425912078,0.957224642941277,0.0975660203212282,0.0975653632478601,0,0,120,0.3,0.3,0.1,0.8
"45",45,0.799411170468136,0.952926372915478,0.957163801020212,0.0865398267258854,0.0865268223956927,0,0,510,0.3,0.3,0.1,0.8
"46",46,0.209179258620321,0.772824348790337,0.851432899347034,0.108875618515878,0.116523610504474,0,0,30,0.3,0.5,0.1,0.2
"47",47,0.207740670731202,0.776651936031347,0.853977830268607,0.0631315502253497,0.0643968211655605,0,0,120,0.3,0.5,0.1,0.2
"48",48,0.201211136749418,0.774826593108302,0.852654240708174,0.0436209234334151,0.0435460915550175,0,0,510,0.3,0.5,0.1,0.2
