"","condition","singularity_MLM0","singularity_MLM1","singularity_MLM2","singularity_MLM3","singularity_MLM4","singularity_MLM5","singularity_MLM6","CN","beta1","beta2","beta3","ICC"
"1",1,0.116,0.002,0.004004004004004,0.026,0.031,0.148,0.167,30,0.3,0.1,0,0.2
"2",2,0.018,0,0,0,0,0.009,0.01,120,0.3,0.1,0,0.2
"3",3,0,0,0,0,0,0,0,510,0.3,0.1,0,0.2
"4",4,0.006,0,0,0.039,0.047,0.167,0.18,30,0.3,0.1,0,0.4
"5",5,0,0,0,0,0,0.004004004004004,0.004,120,0.3,0.1,0,0.4
"6",6,0,0,0,0,0,0,0,510,0.3,0.1,0,0.4
"7",7,0,0,0,0.034,0.04,0.169,0.173,30,0.3,0.1,0,0.8
"8",8,0,0,0,0,0,0.00800800800800801,0.012,120,0.3,0.1,0,0.8
"9",9,0,0,0,0,0,0,0,510,0.3,0.1,0,0.8
"10",10,0.139,0,0,0.291,0.311,1,1,30,0.3,0.3,0,0.2
"11",11,0.011,0,0,0.145,0.143,1,1,120,0.3,0.3,0,0.2
"12",12,0,0,0,0.015,0.016,1,1,510,0.3,0.3,0,0.2
"13",13,0.009,0,0,0.282,0.297,0.999,0.998,30,0.3,0.3,0,0.4
"14",14,0,0,0,0.14,0.146,1,1,120,0.3,0.3,0,0.4
"15",15,0,0,0,0.014,0.014,1,1,510,0.3,0.3,0,0.4
"16",16,0,0,0,0.272,0.285,1,1,30,0.3,0.3,0,0.8
"17",17,0,0,0,0.147,0.147,1,1,120,0.3,0.3,0,0.8
"18",18,0,0,0,0.019,0.018,1,1,510,0.3,0.3,0,0.8
"19",19,0.127,0,0,0.35,0.368,1,1,30,0.3,0.5,0,0.2
"20",20,0.004,0,0,0.296,0.301,1,1,120,0.3,0.5,0,0.2
"21",21,0,0,0,0.194,0.191,1,1,510,0.3,0.5,0,0.2
"22",22,0.004,0,0,0.358,0.379,1,1,30,0.3,0.5,0,0.4
"23",23,0,0,0,0.297,0.307,1,1,120,0.3,0.5,0,0.4
"24",24,0,0,0,0.211,0.214,1,1,510,0.3,0.5,0,0.4
"25",25,0,0,0,0.362362362362362,0.366,1,1,30,0.3,0.5,0,0.8
"26",26,0,0,0,0.338,0.332,1,1,120,0.3,0.5,0,0.8
"27",27,0,0,0,0.194,0.198,1,1,510,0.3,0.5,0,0.8
"28",28,0.16,0.019,0.001,0.0890890890890891,0.091,0.218,0.174,30,0.3,0.1,0.1,0.2
"29",29,0.014,0,0,0.003,0.001,0.058,0.02,120,0.3,0.1,0.1,0.2
"30",30,0,0,0,0,0,0,0,510,0.3,0.1,0.1,0.2
"31",31,0.012,0.005,0,0.08,0.086,0.22,0.181,30,0.3,0.1,0.1,0.4
"32",32,0,0,0,0.001,0.002,0.058,0.017,120,0.3,0.1,0.1,0.4
