"","singularity_MLM0","singularity_MLM1","singularity_MLM2","singularity_MLM3","singularity_MLM4","singularity_MLM5","singularity_MLM6"
"1",0.116,0.002,0.004,0.026,0.031,0.148,0.167
"2",0.018,0,0,0,0,0.009,0.01
"3",0,0,0,0,0,0,0
"4",0.006,0,0,0.039,0.047,0.167,0.18
"5",0,0,0,0,0,0.004,0.004
"6",0,0,0,0,0,0,0
"7",0,0,0,0.034,0.04,0.169,0.173
"8",0,0,0,0,0,0.008,0.012
"9",0,0,0,0,0,0,0
"10",0.139,0,0,0.291,0.311,1,1
"11",0.011,0,0,0.145,0.143,1,1
"12",0,0,0,0.015,0.016,1,1
"13",0.009,0,0,0.282,0.297,0.999,0.998
"14",0,0,0,0.14,0.146,1,1
"15",0,0,0,0.014,0.014,1,1
"16",0,0,0,0.272,0.285,1,1
"17",0,0,0,0.147,0.147,1,1
"18",0,0,0,0.019,0.018,1,1
"19",0.127,0,0,0.35,0.368,1,1
"20",0.004,0,0,0.296,0.301,1,1
"21",0,0,0,0.194,0.191,1,1
"22",0.004,0,0,0.358,0.379,1,1
"23",0,0,0,0.297,0.307,1,1
"24",0,0,0,0.211,0.214,1,1
"25",0,0,0,0.362,0.366,1,1
"26",0,0,0,0.338,0.332,1,1
"27",0,0,0,0.194,0.198,1,1
"28",0.16,0.019,0.001,0.089,0.091,0.218,0.174
"29",0.014,0,0,0.003,0.001,0.058,0.02
"30",0,0,0,0,0,0,0
"31",0.012,0.005,0,0.08,0.086,0.22,0.181
"32",0,0,0,0.001,0.002,0.058,0.017
"33",0,0,0,0,0,0.001,0
"34",0,0,0,0.091,0.096,0.24,0.197
"35",0,0,0,0.003,0.002,0.061,0.029
"36",0,0,0,0,0,0.001,0
"37",0.136,0,0,0.309,0.313,0.998,0.994
"38",0.01,0,0,0.173,0.186,1,1
"39",0,0,0,0.025,0.024,1,1
"40",0.023,0,0,0.284,0.305,0.997,0.999
"41",0,0,0,0.155,0.161,1,1
"42",0,0,0,0.037,0.039,1,1
"43",0,0,0,0.257,0.257,0.998,0.994
"44",0,0,0,0.165,0.168,1,1
"45",0,0,0,0.03,0.031,1,1
"46",0.129,0,0,0.378,0.395,1,1
"47",0.012,0,0,0.306,0.305,1,1
"48",0,0,0,0.2,0.203,1,1
"49",0.007,0,0,0.373,0.38,1,1
"50",0,0,0,0.328,0.33,1,1
"51",0,0,0,0.205,0.205,1,1
"52",0,0,0,0.365,0.377,1,1
"53",0,0,0,0.317,0.318,1,1
"54",0,0,0,0.204,0.197,1,1
