"","cn","target_ICC","beta1","beta2","beta3","wtn","condition","btw"
"1",30,0.2,0.3,0.1,0,100,1,17.5
"2",120,0.2,0.3,0.1,0,100,2,17.5
"3",510,0.2,0.3,0.1,0,100,3,17.5
"4",30,0.4,0.3,0.1,0,100,4,63.3333333333333
"5",120,0.4,0.3,0.1,0,100,5,63.3333333333333
"6",510,0.4,0.3,0.1,0,100,6,63.3333333333333
"7",30,0.8,0.3,0.1,0,100,7,430
"8",120,0.8,0.3,0.1,0,100,8,430
"9",510,0.8,0.3,0.1,0,100,9,430
"10",30,0.2,0.3,0.3,0,100,10,20.8333333333333
"11",120,0.2,0.3,0.3,0,100,11,20.8333333333333
"12",510,0.2,0.3,0.3,0,100,12,20.8333333333333
"13",30,0.4,0.3,0.3,0,100,13,64.8148148148148
"14",120,0.4,0.3,0.3,0,100,14,64.8148148148148
"15",510,0.4,0.3,0.3,0,100,15,64.8148148148148
"16",30,0.8,0.3,0.3,0,100,16,416.666666666667
"17",120,0.8,0.3,0.3,0,100,17,416.666666666667
"18",510,0.8,0.3,0.3,0,100,18,416.666666666667
"19",30,0.2,0.3,0.5,0,100,19,22.7941176470588
"20",120,0.2,0.3,0.5,0,100,20,22.7941176470588
"21",510,0.2,0.3,0.5,0,100,21,22.7941176470588
"22",30,0.4,0.3,0.5,0,100,22,65.6862745098039
"23",120,0.4,0.3,0.5,0,100,23,65.6862745098039
"24",510,0.4,0.3,0.5,0,100,24,65.6862745098039
"25",30,0.8,0.3,0.5,0,100,25,408.823529411765
"26",120,0.8,0.3,0.5,0,100,26,408.823529411765
"27",510,0.8,0.3,0.5,0,100,27,408.823529411765
"28",30,0.2,0.3,0.1,0.1,100,28,20
"29",120,0.2,0.3,0.1,0.1,100,29,20
"30",510,0.2,0.3,0.1,0.1,100,30,20
"31",30,0.4,0.3,0.1,0.1,100,31,70
"32",120,0.4,0.3,0.1,0.1,100,32,70
"33",510,0.4,0.3,0.1,0.1,100,33,70
"34",30,0.8,0.3,0.1,0.1,100,34,470
"35",120,0.8,0.3,0.1,0.1,100,35,470
