"","condition","ICC_MLM0mean","REMLcriterion_MLM0mean","REMLcriterion_MLM1mean","REMLcriterion_MLM2mean","REMLcriterion_MLM3mean","REMLcriterion_MLM4mean","REMLcriterion_MLM5mean","REMLcriterion_MLM6mean","AIC_sib0mean","AIC_sib1mean","AIC_sib2mean","AIC_sib3mean","BIC_sib0mean","BIC_sib1mean","BIC_sib2mean","BIC_sib3mean","rsquared_sib0mean","adj_rsquared_sib0mean","rsquared_sib1mean","adj_rsquared_sib1mean","rsquared_sib2mean","adj_rsquared_sib2mean","rsquared_sib3mean","adj_rsquared_sib3mean","marg_rsquared_MLM0mean","cond_rsquared_MLM0mean","marg_rsquared_MLM1mean","cond_rsquared_MLM1mean","marg_rsquared_MLM2mean","cond_rsquared_MLM2mean","marg_rsquared_MLM3mean","cond_rsquared_MLM3mean","marg_rsquared_MLM4mean","cond_rsquared_MLM4mean","marg_rsquared_MLM5mean","cond_rsquared_MLM5mean","marg_rsquared_MLM6mean","cond_rsquared_MLM6mean"
"1",1,0.212985921277866,322.727886307372,209.870315401158,215.348507780231,235.119182621366,239.930759047711,225.305887520628,234.220870472434,122.299335085094,123.375581197801,122.294852894745,124.36602312968,130.706519375067,133.183962869436,132.10323456638,136.976799564639,0.665351899185292,0.611808203054939,0.674942938331017,0.607222717149978,0.686167217022361,0.620785387235353,0.704521025286074,0.610504987877098,0,0.212985921277866,0.840392772539041,0.926171436981534,0.840728476011417,0.926334399591261,0.777451606975578,0.853747880500652,0.778335141224225,0.854316338721387,0.817392973144744,0.856013923594985,0.817939091896619,0.855330686378787
"2",2,0.197232427710296,1303.49530270751,834.201098624197,841.161680074917,937.617662753537,943.981315565644,903.4145516065,915.37407969691,475.36102564778,476.588906128762,473.881316904274,476.339733226322,492.085976104472,496.101348328236,493.393759103749,501.42715891136,0.638886652082716,0.626326187807332,0.64118010340948,0.625442388646738,0.649285284252761,0.633903059877882,0.653699390883873,0.632055602814115,0,0.197232427710296,0.841834613063723,0.926795476616813,0.841903898706117,0.926820663963772,0.781225959671457,0.8539967860958,0.781424212011877,0.854151432494529,0.818227689888037,0.854050215693634,0.818339064480373,0.853819454861926
"3",3,0.19881487758207,5547.42068883512,3525.47490497028,3533.88967361757,3969.64192673521,3977.37733900842,3825.08282421212,3839.97870269751,2004.74486951443,2006.06005399267,1996.09913685297,1998.7678038049,2030.15133386874,2035.7009290727,2025.740011933,2036.87750033636,0.633003172409768,0.630096266844696,0.633494487198612,0.629858519809709,0.640637901745384,0.637072801564286,0.641571060522813,0.636573047422534,0,0.19881487758207,0.841222575144989,0.927287060429542,0.841231772205334,0.927304952007288,0.781038220993433,0.853966022182711,0.781098749637827,0.853999593259985,0.817557077910248,0.853979508526739,0.817581217843717,0.853926705463633
"4",4,0.397842248033048,335.845251915602,218.198110156548,223.937592248015,236.17765123775,241.264844995598,226.507584851978,235.843116746582,122.693234646021,123.742082537829,122.733419930231,124.7401551954,131.100418935994,133.550464209464,132.541801601866,137.350931630359,0.657902176362994,0.603166524581074,0.667948944323532,0.598771641057601,0.6792036023136,0.612371019462267,0.698565660580395,0.60265473440143,0,0.397842248033048,0.853610702575794,0.942725213097154,0.853920438548247,0.942781081980656,0.830395464927968,0.887701486275929,0.830764854663833,0.888305851163272,0.860647648062736,0.88934385637847,0.861103293926262,0.889115394023147
"5",5,0.398913270115668,1356.30651553925,863.388545121478,870.606685540268,938.323598615981,944.957104594371,904.296067916417,916.763745838248,476.638697854826,477.86602124438,475.063640920306,477.524226133258,493.363648311518,497.378463443855,494.57608311978,502.611651818296,0.636135016498805,0.623478843159633,0.638460117678178,0.622603105295642,0.646953974264021,0.63146949945104,0.651398436223277,0.629610838487232,0,0.398913270115668,0.855863726629507,0.945375695006597,0.855922770257987,0.945409446776459,0.835213362750651,0.890605770549518,0.835286643169868,0.890666298347065,0.863098021792829,0.890648057251195,0.863177107569719,0.89046308216983
"6",6,0.399041121712011,5771.99825772612,3649.89121366478,3658.53973525809,3971.61772935438,3979.71105740415,3826.16226530828,3841.56309861056,2004.91943089232,2006.23952895976,1996.19398677999,1998.8007642595,2030.32589524663,2035.88040403979,2025.83486186002,2036.91046079097,0.632500419653797,0.629589531888678,0.63298785115805,0.629346857617951,0.640178989899237,0.636609337021253,0.641157068230945,0.636153282329782,0,0.399041121712011,0.856007542455982,0.945139050881363,0.856026537302698,0.945147818321561,0.835419988433602,0.890035057284479,0.83542994407099,0.890064262383027,0.862995691193346,0.890026314632014,0.863007656552916,0.890001925767625
"7",7,0.791634395245241,374.53517748565,247.356891820731,254.124263621246,237.565173006818,243.599041852208,228.056300170499,239.297296069194,122.694899724872,123.819783774586,122.668778628457,124.84223677916,131.102084014845,133.628165446221,132.477160300092,137.453013214119,0.66285376681111,0.608910369500887,0.672218299486185,0.603930445212473,0.684161104155028,0.618361334187326,0.701931906518702,0.607092058592835,0,0.791634395245241,0.879211383269194,0.980738044372844,0.879135897429863,0.980773242409611,0.940577838012315,0.960582449691767,0.940584332009955,0.960664113018492,0.951120508839429,0.961104515092063,0.951084075039007,0.960996152958465
"8",8,0.797548495194058,1515.71018861853,982.431792031687,990.638894926309,938.396290472295,945.934361532493,904.507336175424,918.880229838962,474.63840759683,475.96145185199,473.183879879004,475.734757300932,491.363358053522,495.473894051465,492.696322078479,500.82218298597,0.639460688876897,0.626920191098702,0.641455059474079,0.625729404187855,0.649844401250715,0.634486699551185,0.653964982648165,0.632337794063675,0,0.797548495194058,0.883317938141993,0.981636427936374,0.883330765570916,0.981656597220684,0.944447843881009,0.963121072746423,0.94446266574245,0.963143327648452,0.953810865942965,0.963126873120243,0.953831955797508,0.963121299179342
"9",9,0.800997574268275,6458.63443604526,4155.36977275702,4165.14713360624,3967.11495564498,3976.22579195503,3822.41186758844,3839.8277378598,2001.22165607215,2002.47829513889,1992.55600401276,1995.09270616195,2026.62812042646,2032.11917021892,2022.19687909279,2033.20240269341,0.633219001641475,0.630313805614873,0.633751768265294,0.630118353267926,0.640843700326056,0.637280641797545,0.641871587064156,0.636877764573018,0,0.800997574268275,0.885600155804691,0.98188522557676,0.885606081720955,0.981884958081308,0.9454895395325,0.963647427300032,0.945488319056656,0.963651483358501,0.954598899116984,0.963646510512305,0.954600059598605,0.963644471572842
"10",10,0.207363398172842,355.625902850332,230.809957695868,236.18579240088,315.250891696697,318.619263390957,284.486471100902,291.978544593227,138.121234200385,138.987754209697,137.802491157084,139.984631882968,146.528418490358,148.796135881332,147.610872828719,152.595408317928,0.616927770244458,0.555636213483572,0.630996951261792,0.554121316107998,0.650254037672406,0.577390295520824,0.668757999068143,0.563362816953461,0,0.207363398172842,0.836096731703549,0.957530499357178,0.836425854251868,0.957611560681608,0.52289440395042,0.588813535058596,0.527031128741145,0.59426514926919,0.715157726667198,0.715157726667198,0.713466959340335,0.713466959340335
