"","condition","coef_fixed_Intercept_p_MLM0","CN","beta1","beta2","beta3","ICC"
"1",1,0.038,30,0.3,0.1,0,0.2
"2",2,0.039,120,0.3,0.1,0,0.2
"3",3,0.039,510,0.3,0.1,0,0.2
"4",4,0.043,30,0.3,0.1,0,0.4
"5",5,0.047,120,0.3,0.1,0,0.4
"6",6,0.043,510,0.3,0.1,0,0.4
"7",7,0.054,30,0.3,0.1,0,0.8
"8",8,0.059,120,0.3,0.1,0,0.8
"9",9,0.062,510,0.3,0.1,0,0.8
"10",10,0.008,30,0.3,0.3,0,0.2
"11",11,0.015,120,0.3,0.3,0,0.2
"12",12,0.017,510,0.3,0.3,0,0.2
"13",13,0.03,30,0.3,0.3,0,0.4
"14",14,0.031,120,0.3,0.3,0,0.4
"15",15,0.023,510,0.3,0.3,0,0.4
"16",16,0.041,30,0.3,0.3,0,0.8
"17",17,0.047,120,0.3,0.3,0,0.8
"18",18,0.039,510,0.3,0.3,0,0.8
"19",19,0.007,30,0.3,0.5,0,0.2
"20",20,0.012,120,0.3,0.5,0,0.2
"21",21,0.013,510,0.3,0.5,0,0.2
"22",22,0.014,30,0.3,0.5,0,0.4
"23",23,0.013,120,0.3,0.5,0,0.4
"24",24,0.011,510,0.3,0.5,0,0.4
"25",25,0.036,30,0.3,0.5,0,0.8
"26",26,0.042,120,0.3,0.5,0,0.8
"27",27,0.039,510,0.3,0.5,0,0.8
"28",28,0.038,30,0.3,0.1,0.1,0.2
"29",29,0.036,120,0.3,0.1,0.1,0.2
"30",30,0.048,510,0.3,0.1,0.1,0.2
"31",31,0.054,30,0.3,0.1,0.1,0.4
"32",32,0.05,120,0.3,0.1,0.1,0.4
"33",33,0.045,510,0.3,0.1,0.1,0.4
"34",34,0.04,30,0.3,0.1,0.1,0.8
"35",35,0.054,120,0.3,0.1,0.1,0.8
"36",36,0.053,510,0.3,0.1,0.1,0.8
"37",37,0.029,30,0.3,0.3,0.1,0.2
"38",38,0.017,120,0.3,0.3,0.1,0.2
"39",39,0.015,510,0.3,0.3,0.1,0.2
"40",40,0.032,30,0.3,0.3,0.1,0.4
"41",41,0.03,120,0.3,0.3,0.1,0.4
"42",42,0.024,510,0.3,0.3,0.1,0.4
"43",43,0.044,30,0.3,0.3,0.1,0.8
"44",44,0.046,120,0.3,0.3,0.1,0.8
"45",45,0.038,510,0.3,0.3,0.1,0.8
"46",46,0.004,30,0.3,0.5,0.1,0.2
"47",47,0.011,120,0.3,0.5,0.1,0.2
"48",48,0.008,510,0.3,0.5,0.1,0.2
"49",49,0.021,30,0.3,0.5,0.1,0.4
"50",50,0.019,120,0.3,0.5,0.1,0.4
"51",51,0.017,510,0.3,0.5,0.1,0.4
"52",52,0.037,30,0.3,0.5,0.1,0.8
"53",53,0.054,120,0.3,0.5,0.1,0.8
"54",54,0.036,510,0.3,0.5,0.1,0.8
"55",55,0.037,30,0.3,0.1,0.3,0.2
"56",56,0.047,120,0.3,0.1,0.3,0.2
"57",57,0.052,510,0.3,0.1,0.3,0.2
"58",58,0.056,30,0.3,0.1,0.3,0.4
