"","condition","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","CN","beta1","beta2","beta3","ICC"
"1",1,0.048,1,1,30,0.3,0.1,0,0.2
"2",2,0.054,1,1,120,0.3,0.1,0,0.2
"3",3,0.048,1,1,510,0.3,0.1,0,0.2
"4",4,0.055,1,1,30,0.3,0.1,0,0.4
"5",5,0.057,1,1,120,0.3,0.1,0,0.4
"6",6,0.045,1,1,510,0.3,0.1,0,0.4
"7",7,0.057,1,1,30,0.3,0.1,0,0.8
"8",8,0.057,1,1,120,0.3,0.1,0,0.8
"9",9,0.042,1,1,510,0.3,0.1,0,0.8
"10",10,0.051,1,1,30,0.3,0.3,0,0.2
"11",11,0.052,1,1,120,0.3,0.3,0,0.2
"12",12,0.037,1,1,510,0.3,0.3,0,0.2
"13",13,0.044,1,1,30,0.3,0.3,0,0.4
"14",14,0.049,1,1,120,0.3,0.3,0,0.4
"15",15,0.055,1,1,510,0.3,0.3,0,0.4
"16",16,0.047,1,1,30,0.3,0.3,0,0.8
"17",17,0.055,1,1,120,0.3,0.3,0,0.8
"18",18,0.062,1,1,510,0.3,0.3,0,0.8
"19",19,0.059,1,1,30,0.3,0.5,0,0.2
"20",20,0.035,1,1,120,0.3,0.5,0,0.2
"21",21,0.044,1,1,510,0.3,0.5,0,0.2
"22",22,0.055,1,1,30,0.3,0.5,0,0.4
"23",23,0.043,1,1,120,0.3,0.5,0,0.4
"24",24,0.046,1,1,510,0.3,0.5,0,0.4
"25",25,0.042,1,1,30,0.3,0.5,0,0.8
"26",26,0.039,1,1,120,0.3,0.5,0,0.8
"27",27,0.048,1,1,510,0.3,0.5,0,0.8
"28",28,0.043,1,0.995,30,0.3,0.1,0.1,0.2
"29",29,0.0570570570570571,1,1,120,0.3,0.1,0.1,0.2
"30",30,0.045,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.044,1,0.993,30,0.3,0.1,0.1,0.4
"32",32,0.057,1,1,120,0.3,0.1,0.1,0.4
"33",33,0.05,1,1,510,0.3,0.1,0.1,0.4
"34",34,0.048,1,0.985,30,0.3,0.1,0.1,0.8
"35",35,0.049,1,1,120,0.3,0.1,0.1,0.8
"36",36,0.04,1,1,510,0.3,0.1,0.1,0.8
"37",37,0.064,1,1,30,0.3,0.3,0.1,0.2
"38",38,0.046046046046046,1,1,120,0.3,0.3,0.1,0.2
"39",39,0.062,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.054,1,1,30,0.3,0.3,0.1,0.4
"41",41,0.045,1,1,120,0.3,0.3,0.1,0.4
"42",42,0.053,1,1,510,0.3,0.3,0.1,0.4
"43",43,0.048,1,1,30,0.3,0.3,0.1,0.8
"44",44,0.055,1,1,120,0.3,0.3,0.1,0.8
"45",45,0.045,1,1,510,0.3,0.3,0.1,0.8
"46",46,0.066,1,1,30,0.3,0.5,0.1,0.2
"47",47,0.046,1,1,120,0.3,0.5,0.1,0.2
"48",48,0.053,1,1,510,0.3,0.5,0.1,0.2
"49",49,0.047,1,1,30,0.3,0.5,0.1,0.4
"50",50,0.055,1,1,120,0.3,0.5,0.1,0.4
"51",51,0.057,1,1,510,0.3,0.5,0.1,0.4
"52",52,0.041,1,1,30,0.3,0.5,0.1,0.8
"53",53,0.056,1,1,120,0.3,0.5,0.1,0.8
"54",54,0.045,1,1,510,0.3,0.5,0.1,0.8
"55",55,0.05,1,0.593,30,0.3,0.1,0.3,0.2
"56",56,0.039,1,0.997,120,0.3,0.1,0.3,0.2
"57",57,0.046,1,1,510,0.3,0.1,0.3,0.2
"58",58,0.039,1,0.61,30,0.3,0.1,0.3,0.4
"59",59,0.047,1,0.995,120,0.3,0.1,0.3,0.4
"60",60,0.056,1,1,510,0.3,0.1,0.3,0.4
"61",61,0.046,1,0.498,30,0.3,0.1,0.3,0.8
"62",62,0.041,1,0.989,120,0.3,0.1,0.3,0.8
"63",63,0.055,1,1,510,0.3,0.1,0.3,0.8
"64",64,0.071,1,1,30,0.3,0.3,0.3,0.2
"65",65,0.045,1,1,120,0.3,0.3,0.3,0.2
"66",66,0.047,1,1,510,0.3,0.3,0.3,0.2
"67",67,0.057,1,1,30,0.3,0.3,0.3,0.4
"68",68,0.05,1,1,120,0.3,0.3,0.3,0.4
"69",69,0.042,1,1,510,0.3,0.3,0.3,0.4
"70",70,0.05,1,0.997,30,0.3,0.3,0.3,0.8
"71",71,0.051,1,1,120,0.3,0.3,0.3,0.8
"72",72,0.044,1,1,510,0.3,0.3,0.3,0.8
"73",73,0.046,1,1,30,0.3,0.5,0.3,0.2
