"","condition","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","CN","beta1","beta2","beta3","ICC"
"1",1,0.044044044044044,1,1,0.0610610610610611,30,0.3,0.1,0,0.2
"2",2,0.051,1,1,0.051,120,0.3,0.1,0,0.2
"3",3,0.048,1,1,0.053,510,0.3,0.1,0,0.2
"4",4,0.055,1,1,0.059,30,0.3,0.1,0,0.4
"5",5,0.058,1,1,0.061,120,0.3,0.1,0,0.4
"6",6,0.046,1,1,0.048,510,0.3,0.1,0,0.4
"7",7,0.058,1,1,0.055,30,0.3,0.1,0,0.8
"8",8,0.056,1,1,0.057,120,0.3,0.1,0,0.8
"9",9,0.043,1,1,0.045,510,0.3,0.1,0,0.8
"10",10,0.049,1,1,0.058,30,0.3,0.3,0,0.2
"11",11,0.054,1,1,0.049,120,0.3,0.3,0,0.2
"12",12,0.037,1,1,0.035,510,0.3,0.3,0,0.2
"13",13,0.046,1,1,0.049,30,0.3,0.3,0,0.4
"14",14,0.049,1,1,0.042,120,0.3,0.3,0,0.4
"15",15,0.054,1,1,0.038,510,0.3,0.3,0,0.4
"16",16,0.05,1,1,0.047,30,0.3,0.3,0,0.8
"17",17,0.056,1,1,0.05,120,0.3,0.3,0,0.8
"18",18,0.062,1,1,0.058,510,0.3,0.3,0,0.8
"19",19,0.057,1,1,0.064,30,0.3,0.5,0,0.2
"20",20,0.037,1,1,0.052,120,0.3,0.5,0,0.2
"21",21,0.043,1,1,0.055,510,0.3,0.5,0,0.2
"22",22,0.054,1,1,0.048,30,0.3,0.5,0,0.4
"23",23,0.043,1,1,0.046,120,0.3,0.5,0,0.4
"24",24,0.046,1,1,0.052,510,0.3,0.5,0,0.4
"25",25,0.041,1,1,0.046,30,0.3,0.5,0,0.8
"26",26,0.039,1,1,0.046,120,0.3,0.5,0,0.8
"27",27,0.048,1,1,0.056,510,0.3,0.5,0,0.8
"28",28,0.046,1,1,0.999,30,0.3,0.1,0.1,0.2
"29",29,0.052,1,1,1,120,0.3,0.1,0.1,0.2
"30",30,0.057,1,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.047,1,0.999,0.957,30,0.3,0.1,0.1,0.4
"32",32,0.071,1,1,1,120,0.3,0.1,0.1,0.4
"33",33,0.048,1,1,1,510,0.3,0.1,0.1,0.4
"34",34,0.047,1,0.988,0.41,30,0.3,0.1,0.1,0.8
"35",35,0.052,1,1,0.95,120,0.3,0.1,0.1,0.8
"36",36,0.04,1,1,1,510,0.3,0.1,0.1,0.8
"37",37,0.062,1,1,0.989,30,0.3,0.3,0.1,0.2
"38",38,0.049,1,1,1,120,0.3,0.3,0.1,0.2
"39",39,0.056,1,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.049,1,1,0.913,30,0.3,0.3,0.1,0.4
"41",41,0.045,1,1,1,120,0.3,0.3,0.1,0.4
"42",42,0.05,1,1,1,510,0.3,0.3,0.1,0.4
"43",43,0.046,1,1,0.38,30,0.3,0.3,0.1,0.8
"44",44,0.055,1,1,0.923,120,0.3,0.3,0.1,0.8
"45",45,0.048,1,1,1,510,0.3,0.3,0.1,0.8
"46",46,0.055,1,1,0.975,30,0.3,0.5,0.1,0.2
"47",47,0.043,1,1,1,120,0.3,0.5,0.1,0.2
"48",48,0.056,1,1,1,510,0.3,0.5,0.1,0.2
"49",49,0.052,1,1,0.895,30,0.3,0.5,0.1,0.4
"50",50,0.057,1,1,1,120,0.3,0.5,0.1,0.4
"51",51,0.05,1,1,1,510,0.3,0.5,0.1,0.4
"52",52,0.042,1,1,0.4,30,0.3,0.5,0.1,0.8
"53",53,0.056,1,1,0.94,120,0.3,0.5,0.1,0.8
"54",54,0.045,1,1,1,510,0.3,0.5,0.1,0.8
"55",55,0.045,1,0.907,1,30,0.3,0.1,0.3,0.2
"56",56,0.043043043043043,1,1,1,120,0.3,0.1,0.3,0.2
"57",57,0.036,1,1,1,510,0.3,0.1,0.3,0.2
"58",58,0.052,1,0.747,1,30,0.3,0.1,0.3,0.4
"59",59,0.055,1,0.997,1,120,0.3,0.1,0.3,0.4
"60",60,0.052,1,1,1,510,0.3,0.1,0.3,0.4
"61",61,0.051,1,0.534,0.54,30,0.3,0.1,0.3,0.8
"62",62,0.039,1,0.99,0.984,120,0.3,0.1,0.3,0.8
"63",63,0.056,1,1,1,510,0.3,0.1,0.3,0.8
"64",64,0.065,1,1,1,30,0.3,0.3,0.3,0.2
"65",65,0.05,1,1,1,120,0.3,0.3,0.3,0.2
"66",66,0.044,1,1,1,510,0.3,0.3,0.3,0.2
