"","condition","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","CN","beta1","beta2","beta3","ICC"
"1",1,0.018,1,0.301,30,0.3,0.1,0,0.2
"2",2,0.024,1,0.901,120,0.3,0.1,0,0.2
"3",3,0.022,1,1,510,0.3,0.1,0,0.2
"4",4,0.027,1,0.853,30,0.3,0.1,0,0.4
"5",5,0.016,1,1,120,0.3,0.1,0,0.4
"6",6,0.03,1,1,510,0.3,0.1,0,0.4
"7",7,0.024,1,1,30,0.3,0.1,0,0.8
"8",8,0.032,1,1,120,0.3,0.1,0,0.8
"9",9,0.022,1,1,510,0.3,0.1,0,0.8
"10",10,0,1,0.939,30,0.3,0.3,0,0.2
"11",11,0,1,1,120,0.3,0.3,0,0.2
"12",12,0,1,1,510,0.3,0.3,0,0.2
"13",13,0.001,1,1,30,0.3,0.3,0,0.4
"14",14,0,1,1,120,0.3,0.3,0,0.4
"15",15,0,1,1,510,0.3,0.3,0,0.4
"16",16,0,1,1,30,0.3,0.3,0,0.8
"17",17,0.001,1,1,120,0.3,0.3,0,0.8
"18",18,0,1,1,510,0.3,0.3,0,0.8
"19",19,0,0.99,0.994,30,0.3,0.5,0,0.2
"20",20,0,1,1,120,0.3,0.5,0,0.2
"21",21,0,1,1,510,0.3,0.5,0,0.2
"22",22,0,0.999,1,30,0.3,0.5,0,0.4
"23",23,0,1,1,120,0.3,0.5,0,0.4
"24",24,0,1,1,510,0.3,0.5,0,0.4
"25",25,0,1,1,30,0.3,0.5,0,0.8
"26",26,0,1,1,120,0.3,0.5,0,0.8
"27",27,0,1,1,510,0.3,0.5,0,0.8
"28",28,0.032032032032032,1,0.263263263263263,30,0.3,0.1,0.1,0.2
"29",29,0.036,1,0.892,120,0.3,0.1,0.1,0.2
"30",30,0.026,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.026,1,0.802,30,0.3,0.1,0.1,0.4
"32",32,0.03,1,1,120,0.3,0.1,0.1,0.4
"33",33,0.023,1,1,510,0.3,0.1,0.1,0.4
"34",34,0.029,1,1,30,0.3,0.1,0.1,0.8
"35",35,0.03,1,1,120,0.3,0.1,0.1,0.8
"36",36,0.026,1,1,510,0.3,0.1,0.1,0.8
"37",37,0.001,1,0.911,30,0.3,0.3,0.1,0.2
"38",38,0.001,1,1,120,0.3,0.3,0.1,0.2
"39",39,0,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.001,1,1,30,0.3,0.3,0.1,0.4
"41",41,0,1,1,120,0.3,0.3,0.1,0.4
"42",42,0,1,1,510,0.3,0.3,0.1,0.4
"43",43,0.001,1,1,30,0.3,0.3,0.1,0.8
"44",44,0,1,1,120,0.3,0.3,0.1,0.8
"45",45,0,1,1,510,0.3,0.3,0.1,0.8
"46",46,0,0.992,0.993,30,0.3,0.5,0.1,0.2
"47",47,0,1,1,120,0.3,0.5,0.1,0.2
"48",48,0,1,1,510,0.3,0.5,0.1,0.2
"49",49,0,0.999,1,30,0.3,0.5,0.1,0.4
"50",50,0,1,1,120,0.3,0.5,0.1,0.4
"51",51,0,1,1,510,0.3,0.5,0.1,0.4
"52",52,0,1,1,30,0.3,0.5,0.1,0.8
"53",53,0,1,1,120,0.3,0.5,0.1,0.8
"54",54,0,1,1,510,0.3,0.5,0.1,0.8
"55",55,0.043,1,0.203,30,0.3,0.1,0.3,0.2
"56",56,0.034,1,0.78,120,0.3,0.1,0.3,0.2
"57",57,0.041,1,1,510,0.3,0.1,0.3,0.2
"58",58,0.037,1,0.597,30,0.3,0.1,0.3,0.4
"59",59,0.043,1,0.998,120,0.3,0.1,0.3,0.4
"60",60,0.052,1,1,510,0.3,0.1,0.3,0.4
"61",61,0.027,1,1,30,0.3,0.1,0.3,0.8
"62",62,0.031,1,1,120,0.3,0.1,0.3,0.8
"63",63,0.049,1,1,510,0.3,0.1,0.3,0.8
"64",64,0.011,1,0.825,30,0.3,0.3,0.3,0.2
"65",65,0.012,1,1,120,0.3,0.3,0.3,0.2
"66",66,0.009,1,1,510,0.3,0.3,0.3,0.2
"67",67,0.005,1,1,30,0.3,0.3,0.3,0.4
"68",68,0.01,1,1,120,0.3,0.3,0.3,0.4
"69",69,0.008,1,1,510,0.3,0.3,0.3,0.4
"70",70,0.006,1,1,30,0.3,0.3,0.3,0.8
"71",71,0.007,1,1,120,0.3,0.3,0.3,0.8
"72",72,0.011,1,1,510,0.3,0.3,0.3,0.8
"73",73,0.002,0.974,0.973,30,0.3,0.5,0.3,0.2
"74",74,0,1,1,120,0.3,0.5,0.3,0.2
"75",75,0.001,1,1,510,0.3,0.5,0.3,0.2
"76",76,0.002,0.997,1,30,0.3,0.5,0.3,0.4
"77",77,0.001,1,1,120,0.3,0.5,0.3,0.4
"78",78,0.001,1,1,510,0.3,0.5,0.3,0.4
"79",79,0.002,1,1,30,0.3,0.5,0.3,0.8
"80",80,0.001,1,1,120,0.3,0.5,0.3,0.8
"81",81,0.001,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.04,0.996,0.211,30,0.3,0.1,0.5,0.2
"83",83,0.036,1,0.704,120,0.3,0.1,0.5,0.2
"84",84,0.037,1,1,510,0.3,0.1,0.5,0.2
"85",85,0.04,1,0.517,30,0.3,0.1,0.5,0.4
"86",86,0.031,1,0.99,120,0.3,0.1,0.5,0.4
"87",87,0.049,1,1,510,0.3,0.1,0.5,0.4
"88",88,0.039,1,0.999,30,0.3,0.1,0.5,0.8
"89",89,0.049,1,1,120,0.3,0.1,0.5,0.8
"90",90,0.039,1,1,510,0.3,0.1,0.5,0.8
"91",91,0.02,0.983,0.786,30,0.3,0.3,0.5,0.2
"92",92,0.025,1,1,120,0.3,0.3,0.5,0.2
"93",93,0.029,1,1,510,0.3,0.3,0.5,0.2
"94",94,0.022,0.999,0.999,30,0.3,0.3,0.5,0.4
"95",95,0.023,1,1,120,0.3,0.3,0.5,0.4
"96",96,0.021,1,1,510,0.3,0.3,0.5,0.4
"97",97,0.018,1,1,30,0.3,0.3,0.5,0.8
"98",98,0.019,1,1,120,0.3,0.3,0.5,0.8
"99",99,0.013,1,1,510,0.3,0.3,0.5,0.8
"100",100,0.012,0.927,0.934,30,0.3,0.5,0.5,0.2
"101",101,0.009,1,1,120,0.3,0.5,0.5,0.2
"102",102,0.011,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.008,0.987,1,30,0.3,0.5,0.5,0.4
"104",104,0.004,1,1,120,0.3,0.5,0.5,0.4
"105",105,0.005,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.01,1,1,30,0.3,0.5,0.5,0.8
"107",107,0.004,1,1,120,0.3,0.5,0.5,0.8
"108",108,0.009,1,1,510,0.3,0.5,0.5,0.8
"109",109,0.039,1,0.041,30,0.3,0,0,0.2
"110",110,0.047,1,0.045,120,0.3,0,0,0.2
"111",111,0.046,1,0.047,510,0.3,0,0,0.2
"112",112,0.048048048048048,1,0.04004004004004,30,0.3,0,0,0.4
"113",113,0.048,1,0.052,120,0.3,0,0,0.4
"114",114,0.056,1,0.058,510,0.3,0,0,0.4
"115",115,0.034,1,0.052,30,0.3,0,0,0.8
"116",116,0.048,1,0.052,120,0.3,0,0,0.8
"117",117,0.044,1,0.052,510,0.3,0,0,0.8
