"","condition","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","CN","beta1","beta2","beta3","ICC"
"1",1,0.021,1,0.297,0.059,30,0.3,0.1,0,0.2
"2",2,0.023,1,0.899,0.054,120,0.3,0.1,0,0.2
"3",3,0.022,1,1,0.066,510,0.3,0.1,0,0.2
"4",4,0.031,1,0.85,0.053,30,0.3,0.1,0,0.4
"5",5,0.016,1,1,0.042,120,0.3,0.1,0,0.4
"6",6,0.031,1,1,0.038,510,0.3,0.1,0,0.4
"7",7,0.025,1,1,0.054,30,0.3,0.1,0,0.8
"8",8,0.03,1,1,0.057,120,0.3,0.1,0,0.8
"9",9,0.022,1,1,0.043,510,0.3,0.1,0,0.8
"10",10,0,1,0.931,0.072,30,0.3,0.3,0,0.2
"11",11,0,1,1,0.052,120,0.3,0.3,0,0.2
"12",12,0,1,1,0.045,510,0.3,0.3,0,0.2
"13",13,0.002,1,1,0.077,30,0.3,0.3,0,0.4
"14",14,0,1,1,0.067,120,0.3,0.3,0,0.4
"15",15,0,1,1,0.055,510,0.3,0.3,0,0.4
"16",16,0.001,1,1,0.063,30,0.3,0.3,0,0.8
"17",17,0.001,1,1,0.061,120,0.3,0.3,0,0.8
"18",18,0,1,1,0.04,510,0.3,0.3,0,0.8
"19",19,0,0.983,0.987,0.078,30,0.3,0.5,0,0.2
"20",20,0,1,1,0.059,120,0.3,0.5,0,0.2
"21",21,0,1,1,0.052,510,0.3,0.5,0,0.2
"22",22,0,0.994,1,0.063,30,0.3,0.5,0,0.4
"23",23,0,1,1,0.062,120,0.3,0.5,0,0.4
"24",24,0,1,1,0.055,510,0.3,0.5,0,0.4
"25",25,0,1,1,0.059,30,0.3,0.5,0,0.8
"26",26,0,1,1,0.039,120,0.3,0.5,0,0.8
"27",27,0,1,1,0.064,510,0.3,0.5,0,0.8
"28",28,0.03,1,0.264,0.088,30,0.3,0.1,0.1,0.2
"29",29,0.035,1,0.893,0.088,120,0.3,0.1,0.1,0.2
"30",30,0.026,1,1,0.093,510,0.3,0.1,0.1,0.2
"31",31,0.03,1,0.795,0.081,30,0.3,0.1,0.1,0.4
"32",32,0.028,1,1,0.066,120,0.3,0.1,0.1,0.4
"33",33,0.022,1,1,0.068,510,0.3,0.1,0.1,0.4
"34",34,0.028,1,1,0.055,30,0.3,0.1,0.1,0.8
"35",35,0.029,1,1,0.048,120,0.3,0.1,0.1,0.8
"36",36,0.024,1,1,0.071,510,0.3,0.1,0.1,0.8
"37",37,0.001,1,0.904,0.075,30,0.3,0.3,0.1,0.2
"38",38,0.001,1,1,0.068,120,0.3,0.3,0.1,0.2
"39",39,0.002,1,1,0.058,510,0.3,0.3,0.1,0.2
"40",40,0.003,1,1,0.076,30,0.3,0.3,0.1,0.4
"41",41,0,1,1,0.07,120,0.3,0.3,0.1,0.4
"42",42,0,1,1,0.062,510,0.3,0.3,0.1,0.4
"43",43,0.006,1,1,0.05,30,0.3,0.3,0.1,0.8
"44",44,0,1,1,0.047,120,0.3,0.3,0.1,0.8
"45",45,0,1,1,0.058,510,0.3,0.3,0.1,0.8
"46",46,0,0.983,0.989,0.086,30,0.3,0.5,0.1,0.2
"47",47,0,1,1,0.053,120,0.3,0.5,0.1,0.2
"48",48,0,1,1,0.059,510,0.3,0.5,0.1,0.2
