"","condition","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","CN","beta1","beta2","beta3","ICC"
"1",1,0.076,1,0.931,0.522,30,0.3,0.1,0,0.2
"2",2,0.228,1,1,0.986,120,0.3,0.1,0,0.2
"3",3,0.687,1,1,1,510,0.3,0.1,0,0.2
"4",4,0.175,1,0.984,0.254,30,0.3,0.1,0,0.4
"5",5,0.610610610610611,1,1,0.746746746746747,120,0.3,0.1,0,0.4
"6",6,0.995,1,1,1,510,0.3,0.1,0,0.4
"7",7,0.782,1,1,0.163,30,0.3,0.1,0,0.8
"8",8,1,1,1,0.587587587587588,120,0.3,0.1,0,0.8
"9",9,1,1,1,0.997,510,0.3,0.1,0,0.8
"10",10,0.141,1,1,0.992,30,0.3,0.3,0,0.2
"11",11,0.835,1,1,1,120,0.3,0.3,0,0.2
"12",12,1,1,1,1,510,0.3,0.3,0,0.2
"13",13,0.621,1,1,0.794,30,0.3,0.3,0,0.4
"14",14,1,1,1,1,120,0.3,0.3,0,0.4
"15",15,1,1,1,1,510,0.3,0.3,0,0.4
"16",16,1,1,1,0.527,30,0.3,0.3,0,0.8
"17",17,1,1,1,0.998,120,0.3,0.3,0,0.8
"18",18,1,1,1,1,510,0.3,0.3,0,0.8
"19",19,0.16,1,1,1,30,0.3,0.5,0,0.2
"20",20,0.988,1,1,1,120,0.3,0.5,0,0.2
"21",21,1,1,1,1,510,0.3,0.5,0,0.2
"22",22,0.819,1,1,0.911,30,0.3,0.5,0,0.4
"23",23,1,1,1,1,120,0.3,0.5,0,0.4
"24",24,1,1,1,1,510,0.3,0.5,0,0.4
"25",25,1,1,1,0.619,30,0.3,0.5,0,0.8
"26",26,1,1,1,1,120,0.3,0.5,0,0.8
"27",27,1,1,1,1,510,0.3,0.5,0,0.8
"28",28,0.069,1,0.834,0.365,30,0.3,0.1,0.1,0.2
"29",29,0.2,1,1,0.922,120,0.3,0.1,0.1,0.2
"30",30,0.62,1,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.157,1,0.939,0.178,30,0.3,0.1,0.1,0.4
"32",32,0.515,1,1,0.578,120,0.3,0.1,0.1,0.4
"33",33,0.989,1,1,0.995,510,0.3,0.1,0.1,0.4
"34",34,0.703,1,1,0.181,30,0.3,0.1,0.1,0.8
"35",35,1,1,1,0.57,120,0.3,0.1,0.1,0.8
"36",36,1,1,1,0.993,510,0.3,0.1,0.1,0.8
"37",37,0.145,1,1,0.966,30,0.3,0.3,0.1,0.2
"38",38,0.768,1,1,1,120,0.3,0.3,0.1,0.2
"39",39,1,1,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.606,1,1,0.696,30,0.3,0.3,0.1,0.4
"41",41,1,1,1,0.999,120,0.3,0.3,0.1,0.4
"42",42,1,1,1,1,510,0.3,0.3,0.1,0.4
"43",43,1,1,1,0.526,30,0.3,0.3,0.1,0.8
"44",44,1,1,1,0.996,120,0.3,0.3,0.1,0.8
"45",45,1,1,1,1,510,0.3,0.3,0.1,0.8
"46",46,0.164,0.998,1,0.996,30,0.3,0.5,0.1,0.2
"47",47,0.98,1,1,1,120,0.3,0.5,0.1,0.2
"48",48,1,1,1,1,510,0.3,0.5,0.1,0.2
"49",49,0.768,1,1,0.879,30,0.3,0.5,0.1,0.4
"50",50,1,1,1,1,120,0.3,0.5,0.1,0.4
"51",51,1,1,1,1,510,0.3,0.5,0.1,0.4
"52",52,1,1,1,0.666,30,0.3,0.5,0.1,0.8
"53",53,1,1,1,1,120,0.3,0.5,0.1,0.8
"54",54,1,1,1,1,510,0.3,0.5,0.1,0.8
"55",55,0.071,1,0.446,0.096,30,0.3,0.1,0.3,0.2
"56",56,0.122,1,0.979,0.374,120,0.3,0.1,0.3,0.2
"57",57,0.49,1,1,0.925,510,0.3,0.1,0.3,0.2
"58",58,0.099,1,0.646,0.06,30,0.3,0.1,0.3,0.4
"59",59,0.329,1,0.999,0.111,120,0.3,0.1,0.3,0.4
"60",60,0.893,1,1,0.322,510,0.3,0.1,0.3,0.4
"61",61,0.419,1,0.961,0.213,30,0.3,0.1,0.3,0.8
"62",62,0.967,1,1,0.668,120,0.3,0.1,0.3,0.8
"63",63,1,1,1,0.998,510,0.3,0.1,0.3,0.8
