"","condition","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"1",1,0.079,1,0.916,0.492,0.028,0.024,30,0.3,0.1,0,0.2
"2",2,0.229,1,1,0.985,0.026,0.038,120,0.3,0.1,0,0.2
"3",3,0.684,1,1,1,0.019,0.032,510,0.3,0.1,0,0.2
"4",4,0.169,1,0.98,0.23,0.045,0.039,30,0.3,0.1,0,0.4
"5",5,0.602,1,1,0.748,0.03,0.033,120,0.3,0.1,0,0.4
"6",6,0.995,1,1,1,0.025,0.037,510,0.3,0.1,0,0.4
"7",7,0.752,1,0.999,0.129,0.034,0.045,30,0.3,0.1,0,0.8
"8",8,1,1,1,0.57,0.043,0.042,120,0.3,0.1,0,0.8
"9",9,1,1,1,0.996,0.043,0.044,510,0.3,0.1,0,0.8
"10",10,0.123,1,1,0.986,0.009,0.002,30,0.3,0.3,0,0.2
"11",11,0.82,1,1,1,0.003,0.002,120,0.3,0.3,0,0.2
"12",12,1,1,1,1,0.005,0.005,510,0.3,0.3,0,0.2
"13",13,0.557,1,0.999,0.747,0.003,0.008,30,0.3,0.3,0,0.4
"14",14,1,1,1,1,0.004,0.003,120,0.3,0.3,0,0.4
"15",15,1,1,1,1,0.005,0.003,510,0.3,0.3,0,0.4
"16",16,1,1,1,0.444,0.001,0.006,30,0.3,0.3,0,0.8
"17",17,1,1,1,0.997,0.005,0.006,120,0.3,0.3,0,0.8
"18",18,1,1,1,1,0.004,0.003,510,0.3,0.3,0,0.8
"19",19,0.13,0.999,1,0.999,0.005,0.005,30,0.3,0.5,0,0.2
"20",20,0.985,1,1,1,0.002,0,120,0.3,0.5,0,0.2
"21",21,1,1,1,1,0,0,510,0.3,0.5,0,0.2
"22",22,0.746,1,1,0.875,0.003,0.001,30,0.3,0.5,0,0.4
"23",23,1,1,1,1,0,0,120,0.3,0.5,0,0.4
"24",24,1,1,1,1,0,0,510,0.3,0.5,0,0.4
"25",25,1,1,1,0.513,0,0,30,0.3,0.5,0,0.8
"26",26,1,1,1,1,0,0,120,0.3,0.5,0,0.8
"27",27,1,1,1,1,0,0,510,0.3,0.5,0,0.8
"28",28,0.065,1,0.858,0.378,0.712,0.676,30,0.3,0.1,0.1,0.2
"29",29,0.203,1,1,0.948,1,0.999,120,0.3,0.1,0.1,0.2
"30",30,0.66,1,1,1,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.158,1,0.937,0.165,0.607,0.594,30,0.3,0.1,0.1,0.4
"32",32,0.524,1,1,0.593,0.994,0.99,120,0.3,0.1,0.1,0.4
"33",33,0.991,1,1,0.994,1,1,510,0.3,0.1,0.1,0.4
"34",34,0.64,1,0.993,0.159,0.238,0.238,30,0.3,0.1,0.1,0.8
"35",35,0.998,1,1,0.573,0.712,0.701,120,0.3,0.1,0.1,0.8
"36",36,1,1,1,0.996,1,0.999,510,0.3,0.1,0.1,0.8
"37",37,0.127,1,1,0.968,0.248,0.274,30,0.3,0.3,0.1,0.2
"38",38,0.801,1,1,1,0.968,0.964,120,0.3,0.3,0.1,0.2
"39",39,1,1,1,1,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.585,0.999,0.999,0.67,0.178,0.163,30,0.3,0.3,0.1,0.4
"41",41,0.999,1,1,1,0.86,0.88,120,0.3,0.3,0.1,0.4
"42",42,1,1,1,1,1,1,510,0.3,0.3,0.1,0.4
"43",43,0.999,1,1,0.473,0.053,0.06,30,0.3,0.3,0.1,0.8
"44",44,1,1,1,0.995,0.292,0.313,120,0.3,0.3,0.1,0.8
"45",45,1,1,1,1,0.961,0.971,510,0.3,0.3,0.1,0.8
"46",46,0.136,0.999,1,0.992,0.061,0.067,30,0.3,0.5,0.1,0.2
"47",47,0.982,1,1,1,0.692,0.674,120,0.3,0.5,0.1,0.2
"48",48,1,1,1,1,1,1,510,0.3,0.5,0.1,0.2
"49",49,0.718,1,1,0.818,0.043,0.038,30,0.3,0.5,0.1,0.4
"50",50,1,1,1,1,0.456,0.462,120,0.3,0.5,0.1,0.4
"51",51,1,1,1,1,1,1,510,0.3,0.5,0.1,0.4
"52",52,0.999,1,1,0.579,0.002,0.005,30,0.3,0.5,0.1,0.8
"53",53,1,1,1,1,0.054,0.055,120,0.3,0.5,0.1,0.8
"54",54,1,1,1,1,0.719,0.74,510,0.3,0.5,0.1,0.8
"55",55,0.054,1,0.505,0.116,0.976,0.979,30,0.3,0.1,0.3,0.2
"56",56,0.137,1,0.996,0.431,1,1,120,0.3,0.1,0.3,0.2
"57",57,0.546,1,1,0.976,1,1,510,0.3,0.1,0.3,0.2
"58",58,0.104,1,0.611,0.059,0.887,0.892,30,0.3,0.1,0.3,0.4
"59",59,0.337,1,1,0.102,1,1,120,0.3,0.1,0.3,0.4
"60",60,0.902,1,1,0.339,1,1,510,0.3,0.1,0.3,0.4
"61",61,0.393,1,0.922,0.194,0.395,0.4,30,0.3,0.1,0.3,0.8
"62",62,0.963,1,1,0.666,0.869,0.882,120,0.3,0.1,0.3,0.8
"63",63,1,1,1,0.999,1,1,510,0.3,0.1,0.3,0.8
"64",64,0.156,0.998,0.999,0.709,0.912,0.93,30,0.3,0.3,0.3,0.2
"65",65,0.715,1,1,1,1,1,120,0.3,0.3,0.3,0.2
"66",66,1,1,1,1,1,1,510,0.3,0.3,0.3,0.2
