"","condition","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"1",1,0.113,0.033,0.039,0.0610610610610611,0.059,0.028,0.024,30,0.3,0.1,0,0.2
"2",2,0.32,0.071,0.064,0.051,0.054,0.026,0.038,120,0.3,0.1,0,0.2
"3",3,0.839,0.187,0.214,0.053,0.066,0.019,0.032,510,0.3,0.1,0,0.2
"4",4,0.111,0.03,0.041,0.059,0.053,0.045,0.039,30,0.3,0.1,0,0.4
"5",5,0.335,0.064,0.065,0.061,0.042,0.03,0.033,120,0.3,0.1,0,0.4
"6",6,0.855,0.205,0.204,0.048,0.038,0.025,0.037,510,0.3,0.1,0,0.4
"7",7,0.124,0.03,0.035,0.055,0.054,0.034,0.045,30,0.3,0.1,0,0.8
"8",8,0.3,0.071,0.08,0.057,0.057,0.043,0.042,120,0.3,0.1,0,0.8
"9",9,0.845,0.234,0.204,0.045,0.043,0.043,0.044,510,0.3,0.1,0,0.8
"10",10,0.153,0.019,0.022,0.058,0.072,0.009,0.002,30,0.3,0.3,0,0.2
"11",11,0.43,0.031,0.028,0.049,0.052,0.003,0.002,120,0.3,0.3,0,0.2
"12",12,0.959,0.237,0.215,0.035,0.045,0.005,0.005,510,0.3,0.3,0,0.2
"13",13,0.133,0.033,0.026,0.049,0.077,0.003,0.008,30,0.3,0.3,0,0.4
"14",14,0.429,0.017,0.025,0.042,0.067,0.004,0.003,120,0.3,0.3,0,0.4
"15",15,0.955,0.242,0.218,0.038,0.055,0.005,0.003,510,0.3,0.3,0,0.4
"16",16,0.119,0.026,0.025,0.047,0.063,0.001,0.006,30,0.3,0.3,0,0.8
"17",17,0.433,0.022,0.034,0.05,0.061,0.005,0.006,120,0.3,0.3,0,0.8
"18",18,0.957,0.238,0.228,0.058,0.04,0.004,0.003,510,0.3,0.3,0,0.8
"19",19,0.135,0.042,0.052,0.064,0.078,0.005,0.005,30,0.3,0.5,0,0.2
"20",20,0.238,0.054,0.054,0.052,0.059,0.002,0,120,0.3,0.5,0,0.2
"21",21,0.211,0.031,0.033,0.055,0.052,0,0,510,0.3,0.5,0,0.2
"22",22,0.145,0.05,0.055,0.048,0.063,0.003,0.001,30,0.3,0.5,0,0.4
"23",23,0.254,0.052,0.061,0.046,0.062,0,0,120,0.3,0.5,0,0.4
"24",24,0.208,0.048,0.042,0.052,0.055,0,0,510,0.3,0.5,0,0.4
"25",25,0.134,0.045,0.05,0.046,0.059,0,0,30,0.3,0.5,0,0.8
"26",26,0.228,0.051,0.043,0.046,0.039,0,0,120,0.3,0.5,0,0.8
"27",27,0.24,0.045,0.036,0.056,0.064,0,0,510,0.3,0.5,0,0.8
"28",109,0.053,0.063,0.065,0.062,0.0600600600600601,0.054,0.058,30,0.3,0,0,0.2
"29",110,0.074,0.054,0.055,0.054,0.053,0.066,0.05,120,0.3,0,0,0.2
"30",111,0.085,0.077,0.075,0.07,0.045,0.048,0.064,510,0.3,0,0,0.2
"31",112,0.065,0.05,0.046,0.056,0.056,0.039,0.052,30,0.3,0,0,0.4
"32",113,0.067,0.08,0.065,0.057,0.052,0.059,0.051,120,0.3,0,0,0.4
"33",114,0.074,0.065,0.065,0.052,0.048,0.057,0.05,510,0.3,0,0,0.4
"34",115,0.05,0.07,0.068,0.058,0.052,0.05,0.06,30,0.3,0,0,0.8
"35",116,0.055,0.076,0.077,0.051,0.049,0.042,0.045,120,0.3,0,0,0.8
"36",117,0.072,0.068,0.056,0.053,0.052,0.054,0.043,510,0.3,0,0,0.8
