"","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","condition"
"1",0.004,0.007,0.004,0.017,0.202,0.961,0.958,0.002,0.864,0.285,0.951,0.959,0.003,0.956,0.961,0.25,0.957,0.966,0.003,0.842,0.887,0.507,0.95,0.956,0.024,0.97,0.969,0.967,0.961,0.962,0.952,0,0,0.955955955955956,0,0,0.938938938938939,0.982,0,0.699,0.979,0,0.703,0.941,0.924,0,0.069,0.478,0.921,0,0.084,0.508,0.972,0.976,1
"2",0,0,0,0,0,0.968,0.967,0,0.583,0,0.957,0.954,0,0.918,0.913,0,0.966,0.966,0,0.343,0.68,0.001,0.955,0.956,0,0.917,0.928,0.929,0.936,0.961,0.946,0,0,0.949,0,0,0.949,0.976,0,0.099,0.977,0,0.101,0.946,0.772,0,0,0.014,0.771,0,0,0.015,0.974,0.962,2
"3",0,0,0,0,0,0.947,0.954,0,0.039,0,0.941,0.954,0,0.734,0.699,0,0.944,0.956,0,0,0.161,0,0.941,0.947,0,0.574,0.502,0.813,0.786,0.961,0.952,0,0,0.952,0,0,0.947,0.978,0,0,0.978,0,0,0.934,0.313,0,0,0,0.316,0,0,0,0.981,0.968,3
"4",0.008,0.013,0.008,0.023,0.181,0.958,0.957,0.001,0.892,0.289,0.951,0.956,0.002,0.957,0.96,0.239,0.954,0.951,0.001,0.859,0.889,0.499,0.951,0.953,0.027,0.973,0.969,0.97,0.959,0.957,0.945,0,0,0.945,0,0,0.941,0.973,0,0.147,0.969,0,0.15,0.947,0.825,0,0.016,0.746,0.831,0,0.02,0.77,0.955,0.961,4
"5",0,0,0,0,0,0.975,0.977,0,0.665,0,0.961,0.961,0,0.918,0.925,0,0.974,0.979,0,0.411,0.665,0.001,0.966,0.959,0,0.915,0.912,0.936,0.935,0.953,0.943,0,0,0.942,0,0,0.939,0.984,0,0,0.984,0,0,0.958,0.389389389389389,0,0,0.253253253253253,0.398,0,0,0.252,0.97,0.967,5
"6",0,0,0,0,0,0.955,0.954,0,0.08,0,0.953,0.94,0,0.79,0.659,0,0.956,0.957,0,0.001,0.145,0,0.946,0.947,0,0.626,0.49,0.795,0.796,0.957,0.955,0,0,0.954,0,0,0.952,0.97,0,0,0.969,0,0,0.962,0.005,0,0,0,0.005,0,0,0,0.975,0.963,6
"7",0.003,0.006,0.003,0.016,0.173,0.963,0.962,0.003,0.927,0.324,0.964,0.961,0.003,0.966,0.958,0.223,0.961,0.959,0.004,0.902,0.876,0.548,0.957,0.958,0.034,0.966,0.973,0.97,0.965,0.946,0.943,0,0,0.942,0,0,0.945,0.976,0,0,0.975,0,0,0.946,0.218,0,0,0.837,0.248,0,0.001,0.871,0.966,0.955,7
"8",0,0,0,0,0,0.962,0.959,0,0.827,0,0.96,0.955,0,0.945,0.926,0,0.967,0.965,0,0.63,0.7,0.002,0.963,0.963,0,0.936,0.922,0.929,0.92,0.941,0.943,0,0,0.944,0,0,0.943,0.968,0,0,0.97,0,0,0.943,0,0,0,0.412412412412412,0,0,0,0.43,0.957,0.958,8
"9",0,0,0,0,0,0.948,0.954,0,0.404,0,0.935,0.938,0,0.838,0.661,0,0.949,0.95,0,0.056,0.155,0,0.933,0.939,0,0.676,0.513,0.766,0.796,0.938,0.958,0,0,0.957,0,0,0.955,0.978,0,0,0.978,0,0,0.957,0,0,0,0.003,0,0,0,0.004,0.957,0.956,9
"10",0.071,0.089,0.042,0.09,0,0.982,0.965,0.064,0.123,0.004,0.949,0.948,0.068,0.799,0.676,0.004,0.987,0.969,0.041,0.068,0.847,0.185,0.938,0.94,0.116,0.867,0.798,0.981,0.978,0.992,0.949,0,0,0.951,0,0,0.942,1,0,0.061,1,0,0.069,0.928,0.859,0,0,0.008,0.877,0,0,0.014,0.991,0.998,10
