"","condition","f_p_sib0","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","CN","beta1","beta2","beta3","ICC"
"1",1,0.996,0.798,0.039,0.042,0.998,0.136,30,0.3,0.1,0,0.2
"2",2,1,1,0.032,0.033,1,0.417,120,0.3,0.1,0,0.2
"3",3,1,1,0.053,0.046,1,0.961,510,0.3,0.1,0,0.2
"4",4,0.992,0.819,0.042,0.043,0.999,0.108,30,0.3,0.1,0,0.4
"5",5,1,1,0.025,0.023,1,0.335,120,0.3,0.1,0,0.4
"6",6,1,1,0.045,0.046,1,0.92,510,0.3,0.1,0,0.4
"7",7,0.997,0.827,0.037,0.038,0.997,0.073,30,0.3,0.1,0,0.8
"8",8,1,1,0.038,0.041,1,0.173,120,0.3,0.1,0,0.8
"9",9,1,1,0.052,0.046,1,0.596,510,0.3,0.1,0,0.8
"10",10,0.929,1,0.018,0.035,0.936,0.877,30,0.3,0.3,0,0.2
"11",11,1,1,0.01,0.016,1,1,120,0.3,0.3,0,0.2
"12",12,1,1,0.01,0.029,1,1,510,0.3,0.3,0,0.2
"13",13,0.938,1,0.017,0.023,0.944,0.773,30,0.3,0.3,0,0.4
"14",14,1,1,0.007,0.023,1,1,120,0.3,0.3,0,0.4
"15",15,1,1,0.008,0.023,1,1,510,0.3,0.3,0,0.4
"16",16,0.949,1,0.021,0.022,0.953,0.427,30,0.3,0.3,0,0.8
"17",17,1,1,0.004,0.009,1,0.924,120,0.3,0.3,0,0.8
"18",18,1,1,0.002,0.006,1,1,510,0.3,0.3,0,0.8
"19",19,0.999,1,0.035,0.037,0.964,0.999,30,0.3,0.5,0,0.2
"20",20,1,1,0.018,0.027,1,1,120,0.3,0.5,0,0.2
"21",21,1,1,0.012,0.03,1,1,510,0.3,0.5,0,0.2
"22",22,0.997,1,0.035,0.039,0.98,0.997,30,0.3,0.5,0,0.4
"23",23,1,1,0.021,0.029,1,1,120,0.3,0.5,0,0.4
"24",24,1,1,0.016,0.018,1,1,510,0.3,0.5,0,0.4
"25",25,0.998,1,0.04,0.039,0.951,0.888,30,0.3,0.5,0,0.8
"26",26,1,1,0.014,0.018,1,1,120,0.3,0.5,0,0.8
"27",27,1,1,0.012,0.019,1,1,510,0.3,0.5,0,0.8
"28",28,0.984,0.834,0.287,0.121,0.995,0.239,30,0.3,0.1,0.1,0.2
"29",29,1,1,0.85,0.397,1,0.754,120,0.3,0.1,0.1,0.2
"30",30,1,1,1,0.942,1,1,510,0.3,0.1,0.1,0.2
"31",31,0.987,0.823,0.266,0.152,0.997,0.291,30,0.3,0.1,0.1,0.4
"32",32,1,1,0.854,0.587,1,0.901,120,0.3,0.1,0.1,0.4
"33",33,1,1,1,0.999,1,1,510,0.3,0.1,0.1,0.4
"34",34,0.984,0.824,0.297,0.264,0.997,0.396,30,0.3,0.1,0.1,0.8
"35",35,1,1,0.868,0.809,1,0.965,120,0.3,0.1,0.1,0.8
"36",36,1,1,1,1,1,1,510,0.3,0.1,0.1,0.8
"37",37,0.968,1,0.396,0.059,0.929,0.976,30,0.3,0.3,0.1,0.2
"38",38,1,1,0.983,0.092,1,1,120,0.3,0.3,0.1,0.2
"39",39,1,1,1,0.392,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.969,1,0.392,0.082,0.925,0.98,30,0.3,0.3,0.1,0.4
