"","condition","f_p_sib1","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","CN","beta1","beta2","beta3","ICC"
"1",1,0.993,0.715,0.049,0.041,0.997,0.044,0.039,30,0.3,0.1,0,0.2
"2",2,1,1,0.043,0.046,1,0.082,0.087,120,0.3,0.1,0,0.2
"3",3,1,1,0.059,0.046,1,0.266,0.301,510,0.3,0.1,0,0.2
"4",4,0.987,0.711,0.049,0.044,0.998,0.043,0.04,30,0.3,0.1,0,0.4
"5",5,1,1,0.039,0.039,1,0.082,0.075,120,0.3,0.1,0,0.4
"6",6,1,1,0.047,0.06,1,0.21,0.341,510,0.3,0.1,0,0.4
"7",7,0.994,0.676,0.036,0.039,0.997,0.034,0.042,30,0.3,0.1,0,0.8
"8",8,1,1,0.04,0.045,1,0.055,0.074,120,0.3,0.1,0,0.8
"9",9,1,1,0.065,0.062,1,0.162,0.339,510,0.3,0.1,0,0.8
"10",10,0.911,0.996,0.051,0.052,0.932,0.201,0.324,30,0.3,0.3,0,0.2
"11",11,1,1,0.043,0.045,1,0.402,0.729,120,0.3,0.3,0,0.2
"12",12,1,1,0.047,0.038,1,0.943,1,510,0.3,0.3,0,0.2
"13",13,0.913,0.976,0.062,0.061,0.938,0.149,0.387,30,0.3,0.3,0,0.4
"14",14,1,1,0.044,0.047,1,0.339,0.895,120,0.3,0.3,0,0.4
"15",15,1,1,0.051,0.047,1,0.875,1,510,0.3,0.3,0,0.4
"16",16,0.928,0.787,0.059,0.05,0.944,0.105,0.419,30,0.3,0.3,0,0.8
"17",17,1,1,0.054,0.055,1,0.186,0.914,120,0.3,0.3,0,0.8
"18",18,1,1,0.046,0.043,1,0.578,1,510,0.3,0.3,0,0.8
"19",19,0.994,1,0.037,0.033,0.96,0.427,0.795,30,0.3,0.5,0,0.2
"20",20,1,1,0.044,0.042,1,0.793,0.987,120,0.3,0.5,0,0.2
"21",21,1,1,0.039,0.055,1,1,1,510,0.3,0.5,0,0.2
"22",22,0.997,0.993,0.05,0.054,0.969,0.352,0.848,30,0.3,0.5,0,0.4
"23",23,1,1,0.034,0.045,1,0.724,1,120,0.3,0.5,0,0.4
"24",24,1,1,0.06,0.053,1,0.998,1,510,0.3,0.5,0,0.4
"25",25,0.994,0.886,0.052,0.049,0.949,0.187,0.871,30,0.3,0.5,0,0.8
"26",26,1,1,0.048,0.044,1,0.514,0.998,120,0.3,0.5,0,0.8
"27",27,1,1,0.041,0.046,1,0.933,1,510,0.3,0.5,0,0.8
"28",28,0.979,0.777,0.116,0.063,0.996,0.1,0.361,30,0.3,0.1,0.1,0.2
"29",29,1,1,0.35,0.1,1,0.294,0.97,120,0.3,0.1,0.1,0.2
"30",30,1,1,0.91,0.23,1,0.836,1,510,0.3,0.1,0.1,0.2
"31",31,0.987,0.741,0.102,0.07,0.997,0.059,0.405,30,0.3,0.1,0.1,0.4
"32",32,1,1,0.349,0.177,1,0.195,0.992,120,0.3,0.1,0.1,0.4
"33",33,1,1,0.908,0.562,1,0.663,1,510,0.3,0.1,0.1,0.4
"34",34,0.98,0.639,0.121,0.108,0.994,0.046,0.518,30,0.3,0.1,0.1,0.8
"35",35,1,0.995,0.351,0.298,1,0.072,1,120,0.3,0.1,0.1,0.8
"36",36,1,1,0.903,0.841,1,0.196,1,510,0.3,0.1,0.1,0.8
"37",37,0.958,0.984,0.189,0.085,0.922,0.21,0.365,30,0.3,0.3,0.1,0.2
"38",38,1,1,0.611,0.131,1,0.722,0.831,120,0.3,0.3,0.1,0.2
"39",39,1,1,0.997,0.401,1,1,1,510,0.3,0.3,0.1,0.2
"40",40,0.951,0.954,0.176,0.092,0.921,0.187,0.498,30,0.3,0.3,0.1,0.4
"41",41,1,1,0.604,0.268,1,0.715,0.962,120,0.3,0.3,0.1,0.4
"42",42,1,1,0.995,0.772,1,1,1,510,0.3,0.3,0.1,0.4
"43",43,0.937,0.589,0.196,0.164,0.903,0.206,0.88,30,0.3,0.3,0.1,0.8
"44",44,1,0.993,0.599,0.522,1,0.672,1,120,0.3,0.3,0.1,0.8
