"","condition","f_p_sib2","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","CN","beta1","beta2","beta3","ICC"
"1",1,0.996,0.75,0.043,0.034,0.997,0.158,0.113,30,0.3,0.1,0,0.2
"2",2,1,1,0.034,0.034,1,0.657,0.32,120,0.3,0.1,0,0.2
"3",3,1,1,0.056,0.044,1,1,0.839,510,0.3,0.1,0,0.2
"4",4,0.992,0.761,0.046,0.049,0.999,0.141,0.111,30,0.3,0.1,0,0.4
"5",5,1,1,0.026,0.021,1,0.589,0.335,120,0.3,0.1,0,0.4
"6",6,1,1,0.044,0.043,1,0.999,0.855,510,0.3,0.1,0,0.4
"7",7,0.997,0.777,0.039,0.041,0.996,0.098,0.124,30,0.3,0.1,0,0.8
"8",8,1,1,0.033,0.035,1,0.37,0.3,120,0.3,0.1,0,0.8
"9",9,1,1,0.051,0.05,1,0.944,0.845,510,0.3,0.1,0,0.8
"10",10,0.958,0.996,0.013,0.031,0.959,0.932,0.153,30,0.3,0.3,0,0.2
"11",11,1,1,0.005,0.011,1,1,0.43,120,0.3,0.3,0,0.2
"12",12,1,1,0.007,0.022,1,1,0.959,510,0.3,0.3,0,0.2
"13",13,0.964,0.99,0.019,0.018,0.958,0.85,0.133,30,0.3,0.3,0,0.4
"14",14,1,1,0.006,0.019,1,1,0.429,120,0.3,0.3,0,0.4
"15",15,1,1,0.008,0.021,1,1,0.955,510,0.3,0.3,0,0.4
"16",16,0.959,0.998,0.019,0.02,0.965,0.468,0.119,30,0.3,0.3,0,0.8
"17",17,1,1,0.005,0.007,1,0.986,0.433,120,0.3,0.3,0,0.8
"18",18,1,1,0.003,0.007,1,1,0.957,510,0.3,0.3,0,0.8
"19",19,0.998,1,0.031,0.041,0.965,0.998,0.135,30,0.3,0.5,0,0.2
"20",20,1,1,0.017,0.03,1,1,0.238,120,0.3,0.5,0,0.2
"21",21,1,1,0.013,0.031,1,1,0.211,510,0.3,0.5,0,0.2
"22",22,0.999,1,0.034,0.036,0.976,0.998,0.145,30,0.3,0.5,0,0.4
"23",23,1,1,0.02,0.027,1,1,0.254,120,0.3,0.5,0,0.4
"24",24,1,1,0.016,0.026,1,1,0.208,510,0.3,0.5,0,0.4
"25",25,0.999,1,0.037,0.029,0.963,0.91,0.134,30,0.3,0.5,0,0.8
"26",26,1,1,0.014,0.018,1,1,0.228,120,0.3,0.5,0,0.8
"27",27,1,1,0.013,0.016,1,1,0.24,510,0.3,0.5,0,0.8
"28",28,0.977,0.785,0.268,0.116,0.984,0.232,0.146,30,0.3,0.1,0.1,0.2
"29",29,1,1,0.864,0.408,1,0.861,0.316,120,0.3,0.1,0.1,0.2
"30",30,1,1,1,0.951,1,1,0.802,510,0.3,0.1,0.1,0.2
"31",31,0.985,0.77,0.254,0.159,0.992,0.299,0.131,30,0.3,0.1,0.1,0.4
"32",32,1,1,0.858,0.596,1,0.946,0.342,120,0.3,0.1,0.1,0.4
"33",33,1,1,1,0.999,1,1,0.815,510,0.3,0.1,0.1,0.4
"34",34,0.985,0.774,0.286,0.253,0.99,0.426,0.126,30,0.3,0.1,0.1,0.8
"35",35,1,1,0.865,0.815,1,0.977,0.326,120,0.3,0.1,0.1,0.8
"36",36,1,1,1,1,1,1,0.842,510,0.3,0.1,0.1,0.8
"37",37,0.979,0.991,0.385,0.07,0.941,0.988,0.128,30,0.3,0.3,0.1,0.2
"38",38,1,1,0.98,0.111,1,1,0.381,120,0.3,0.3,0.1,0.2
"39",39,1,1,1,0.481,1,1,0.943,510,0.3,0.3,0.1,0.2
"40",40,0.981,0.993,0.367,0.087,0.941,0.985,0.146,30,0.3,0.3,0.1,0.4
"41",41,1,1,0.984,0.386,1,1,0.402,120,0.3,0.3,0.1,0.4
"42",42,1,1,1,0.97,1,1,0.954,510,0.3,0.3,0.1,0.4
"43",43,0.978,0.994,0.379,0.271,0.936,0.914,0.142,30,0.3,0.3,0.1,0.8
"44",44,1,1,0.981,0.913,1,1,0.423,120,0.3,0.3,0.1,0.8
"45",45,1,1,1,1,1,1,0.957,510,0.3,0.3,0.1,0.8
"46",46,1,0.999,0.374,0.073,0.965,0.998,0.117,30,0.3,0.5,0.1,0.2
"47",47,1,1,0.972,0.104,1,1,0.199,120,0.3,0.5,0.1,0.2
"48",48,1,1,1,0.195,1,1,0.191,510,0.3,0.5,0.1,0.2
"49",49,0.999,0.998,0.364,0.053,0.958,0.998,0.151,30,0.3,0.5,0.1,0.4
"50",50,1,1,0.975,0.068,1,1,0.159,120,0.3,0.5,0.1,0.4
"51",51,1,1,1,0.154,1,1,0.172,510,0.3,0.5,0.1,0.4
"52",52,0.999,1,0.338,0.181,0.952,0.992,0.124,30,0.3,0.5,0.1,0.8
"53",53,1,1,0.965,0.693,1,1,0.182,120,0.3,0.5,0.1,0.8
"54",54,1,1,1,0.999,1,1,0.184,510,0.3,0.5,0.1,0.8
"55",55,0.811,0.981,0.146,0.058,0.819,0.117,0.117,30,0.3,0.1,0.3,0.2
"56",56,1,1,0.531,0.087,1,0.604,0.305,120,0.3,0.1,0.3,0.2
"57",57,1,1,0.98,0.18,1,0.999,0.715,510,0.3,0.1,0.3,0.2
"58",58,0.789,0.97,0.167,0.082,0.808,0.157,0.127,30,0.3,0.1,0.3,0.4
"59",59,1,1,0.531,0.207,1,0.731,0.297,120,0.3,0.1,0.3,0.4
"60",60,1,1,0.98,0.649,1,1,0.75,510,0.3,0.1,0.3,0.4
"61",61,0.78,0.962,0.154,0.119,0.787,0.204,0.163,30,0.3,0.1,0.3,0.8
"62",62,1,1,0.505,0.424,1,0.765,0.32,120,0.3,0.1,0.3,0.8
"63",63,1,1,0.979,0.958,1,1,0.799,510,0.3,0.1,0.3,0.8
"64",64,0.97,0.997,0.451,0.053,0.673,0.828,0.101,30,0.3,0.3,0.3,0.2
"65",65,1,1,0.984,0.054,0.999,1,0.22,120,0.3,0.3,0.3,0.2
"66",66,1,1,1,0.056,1,1,0.521,510,0.3,0.3,0.3,0.2
"67",67,0.957,0.999,0.464,0.084,0.602,0.844,0.119,30,0.3,0.3,0.3,0.4
"68",68,1,1,0.986,0.319,1,1,0.24,120,0.3,0.3,0.3,0.4
"69",69,1,1,1,0.883,1,1,0.571,510,0.3,0.3,0.3,0.4
"70",70,0.935,1,0.447,0.319,0.524,0.75,0.095,30,0.3,0.3,0.3,0.8
"71",71,1,1,0.989,0.923,0.999,1,0.232,120,0.3,0.3,0.3,0.8
"72",72,1,1,1,1,1,1,0.678,510,0.3,0.3,0.3,0.8
"73",73,0.999,1,0.462,0.134,0.706,0.991,0.115,30,0.3,0.5,0.3,0.2
"74",74,1,1,0.97,0.329,0.999,1,0.136,120,0.3,0.5,0.3,0.2
"75",75,1,1,1,0.876,1,1,0.131,510,0.3,0.5,0.3,0.2
