"","condition","f_p_sib3","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","CN","beta1","beta2","beta3","ICC"
"1",1,0.983,0.493,0.05,0.044,0.976,0.03,0.031,0.033,0.039,30,0.3,0.1,0,0.2
"2",2,1,0.999,0.045,0.044,1,0.083,0.072,0.071,0.064,120,0.3,0.1,0,0.2
"3",3,1,1,0.059,0.053,1,0.426,0.498,0.187,0.214,510,0.3,0.1,0,0.2
"4",4,0.977,0.501,0.049,0.047,0.973,0.027,0.031,0.03,0.041,30,0.3,0.1,0,0.4
"5",5,1,0.999,0.034,0.041,1,0.085,0.088,0.064,0.065,120,0.3,0.1,0,0.4
"6",6,1,1,0.054,0.053,1,0.374,0.51,0.205,0.204,510,0.3,0.1,0,0.4
"7",7,0.984,0.452,0.043,0.042,0.966,0.034,0.027,0.03,0.035,30,0.3,0.1,0,0.8
"8",8,1,0.998,0.037,0.037,1,0.064,0.078,0.071,0.08,120,0.3,0.1,0,0.8
"9",9,1,1,0.067,0.061,1,0.324,0.487,0.234,0.204,510,0.3,0.1,0,0.8
"10",10,0.91,0.815,0.062,0.06,0.884,0.133,0.202,0.019,0.022,30,0.3,0.3,0,0.2
"11",11,1,1,0.041,0.042,1,0.419,0.706,0.031,0.028,120,0.3,0.3,0,0.2
"12",12,1,1,0.044,0.038,1,0.982,1,0.237,0.215,510,0.3,0.3,0,0.2
"13",13,0.909,0.766,0.058,0.057,0.876,0.114,0.229,0.033,0.026,30,0.3,0.3,0,0.4
"14",14,1,1,0.042,0.041,1,0.353,0.856,0.017,0.025,120,0.3,0.3,0,0.4
"15",15,1,1,0.049,0.046,1,0.94,1,0.242,0.218,510,0.3,0.3,0,0.4
"16",16,0.908,0.58,0.051,0.044,0.9,0.094,0.242,0.026,0.025,30,0.3,0.3,0,0.8
"17",17,1,0.996,0.048,0.048,1,0.21,0.895,0.022,0.034,120,0.3,0.3,0,0.8
