"","condition","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","CN","beta1","beta2","beta3","ICC"
"1",1,0.979,0.967,0.975,0.933,0.578,0.011,0.007,0.994,0.047,0.431,0.006,0.01,0.994,0.01,0.004,0.517,0.009,0.006,0.989,0.048,0.041,0.239,0.009,0.009,0.935,0.007,0.001,0.003,0.006,0.009,0.009,1,1,0.00900900900900901,1,0.997997997997998,0.016016016016016,0.001,1,0.096,0.001,1,0.097,0.014,0.025,1,0.782,0.271,0.02,1,0.75,0.254,0.007,0.007,30,0.3,0.1,0,0.2
"2",2,1,1,1,1,1,0.005,0.005,1,0.207,0.998,0.011,0.009,1,0.018,0.017,1,0.004,0.007,1,0.397,0.146,0.988,0.012,0.01,1,0.018,0.017,0.013,0.017,0.008,0.008,1,1,0.008,1,1,0.008,0.003,1,0.736,0.003,1,0.731,0.008,0.082,1,1,0.931,0.079,1,1,0.926,0,0.003,120,0.3,0.1,0,0.2
"3",3,1,1,1,1,1,0.015,0.007,1,0.872,1,0.016,0.01,1,0.079,0.121,1,0.014,0.007,1,0.997,0.658,1,0.014,0.008,1,0.156,0.206,0.067,0.072,0.008,0.01,1,1,0.01,1,1,0.008,0.002,1,1,0.002,1,1,0.015,0.443,1,1,1,0.437,1,1,1,0.002,0.002,510,0.3,0.1,0,0.2
"4",4,0.966,0.951,0.96,0.928,0.581,0.006,0.004,0.993,0.033,0.428,0.008,0.005,0.991,0.008,0.009,0.501,0.007,0.005,0.984,0.028,0.042,0.235,0.007,0.01,0.924,0.006,0.005,0.01,0.015,0.008,0.012,1,0.999,0.011,1,0.997,0.01,0.003,1,0.595,0.002,1,0.572,0.008,0.078,1,0.919,0.082,0.068,1,0.888,0.082,0.012,0.006,30,0.3,0.1,0,0.4
"5",5,1,1,1,1,1,0.004,0.002,1,0.151,0.999,0.006,0.006,1,0.016,0.012,1,0.004,0.005,1,0.307,0.153,0.985,0.007,0.009,1,0.012,0.017,0.015,0.018,0.009,0.007,1,1,0.009,1,1,0.014,0.004,1,1,0.005,1,1,0.011,0.357357357357357,1,1,0.505505505505506,0.352,1,1,0.502,0.003,0.004,120,0.3,0.1,0,0.4
"6",6,1,1,1,1,1,0.009,0.01,1,0.766,1,0.01,0.013,1,0.071,0.117,1,0.01,0.014,1,0.986,0.683,1,0.01,0.014,1,0.15,0.2,0.061,0.065,0.01,0.015,1,1,0.015,1,1,0.011,0.005,1,1,0.004,1,1,0.012,0.98,1,1,0.997,0.979,1,1,0.998,0.002,0.007,510,0.3,0.1,0,0.4
"7",7,0.98,0.966,0.976,0.935,0.586,0.004,0.005,0.993,0.02,0.385,0.006,0.007,0.992,0.003,0.007,0.509,0.005,0.007,0.983,0.031,0.039,0.222,0.006,0.008,0.923,0.004,0.002,0.005,0.006,0.01,0.013,1,0.994,0.014,1,0.994,0.012,0.003,1,1,0.006,1,1,0.015,0.552,1,1,0.052,0.52,1,0.996,0.051,0.004,0.009,30,0.3,0.1,0,0.8
"8",8,1,1,1,1,1,0.007,0.007,1,0.053,0.999,0.008,0.007,1,0.009,0.015,1,0.007,0.006,1,0.149,0.149,0.976,0.005,0.005,1,0.01,0.014,0.02,0.017,0.014,0.008,1,1,0.008,1,1,0.01,0.005,1,1,0.005,1,1,0.009,0.997997997997998,1,1,0.34034034034034,0.998,1,1,0.348,0.008,0.008,120,0.3,0.1,0,0.8
"9",9,1,1,1,1,1,0.011,0.006,1,0.341,1,0.013,0.01,1,0.059,0.126,1,0.011,0.005,1,0.833,0.679,1,0.012,0.014,1,0.116,0.213,0.069,0.066,0.006,0.008,1,1,0.008,1,1,0.008,0.003,1,1,0.002,1,1,0.007,1,1,1,0.977,1,1,1,0.974,0.008,0.004,510,0.3,0.1,0,0.8
"10",10,0.844,0.807,0.872,0.782,1,0.003,0.006,0.853,0.74,0.953,0.009,0.009,0.846,0.074,0.181,0.968,0.005,0.005,0.87,0.774,0.049,0.587,0.008,0.011,0.732,0.046,0.084,0.005,0.004,0,0.007,1,1,0.007,1,1,0.01,0,1,0.606,0,1,0.579,0.02,0.024,1,1,0.931,0.019,0.999,1,0.904,0,0,30,0.3,0.3,0,0.2
