"","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","condition"
"1",0.996,0.993,0.996,0.983,0.798,0.039,0.042,0.998,0.136,0.715,0.049,0.041,0.997,0.044,0.039,0.75,0.043,0.034,0.997,0.158,0.113,0.493,0.05,0.044,0.976,0.03,0.031,0.033,0.039,0.0350678733031674,0.0480961923847695,1,1,0.0442211055276382,1,1,0.0603015075376884,0.0154004106776181,1,0.295687885010267,0.0185758513931889,1,0.293085655314757,0.0608875128998968,0.0645539906103286,1,0.927230046948357,0.487089201877934,0.0672268907563025,1,0.909963985594238,0.46578631452581,0.0288115246098439,0.021608643457383,1
"2",1,1,1,1,1,0.032,0.033,1,0.417,1,0.043,0.046,1,0.082,0.087,1,0.034,0.034,1,0.657,0.32,0.999,0.045,0.044,1,0.083,0.072,0.071,0.064,0.0386965376782077,0.054,1,1,0.051,1,1,0.051,0.024,1,0.901,0.023,1,0.899,0.054,0.227043390514632,1,1,0.985872855701312,0.228282828282828,1,1,0.984848484848485,0.0252525252525253,0.0373737373737374,2
"3",1,1,1,1,1,0.053,0.046,1,0.961,1,0.059,0.046,1,0.266,0.301,1,0.056,0.044,1,1,0.839,1,0.059,0.053,1,0.426,0.498,0.187,0.214,0.039,0.048,1,1,0.048,1,1,0.053,0.022,1,1,0.022,1,1,0.066,0.687,1,1,1,0.684,1,1,1,0.019,0.032,3
"4",0.992,0.987,0.992,0.977,0.819,0.042,0.043,0.999,0.108,0.711,0.049,0.044,0.998,0.043,0.04,0.761,0.046,0.049,0.999,0.141,0.111,0.501,0.049,0.047,0.973,0.027,0.031,0.03,0.041,0.0432595573440644,0.055,1,1,0.055,1,1,0.059,0.0249739854318418,1,0.852237252861602,0.0272822665267576,1,0.848898216159496,0.0524658971668416,0.160864345738295,1,0.986794717887155,0.241296518607443,0.160975609756098,1,0.979268292682927,0.217073170731707,0.0426829268292683,0.0341463414634146,4
"5",1,1,1,1,1,0.025,0.023,1,0.335,1,0.039,0.039,1,0.082,0.075,1,0.026,0.021,1,0.589,0.335,0.999,0.034,0.041,1,0.085,0.088,0.064,0.065,0.047,0.057,1,1,0.058,1,1,0.061,0.016,1,1,0.016,1,1,0.042,0.61105527638191,1,1,0.746733668341709,0.602409638554217,1,1,0.747991967871486,0.0301204819277108,0.0321285140562249,5
"6",1,1,1,1,1,0.045,0.046,1,0.92,1,0.047,0.06,1,0.21,0.341,1,0.044,0.043,1,0.999,0.855,1,0.054,0.053,1,0.374,0.51,0.205,0.204,0.043,0.045,1,1,0.046,1,1,0.048,0.03,1,1,0.031,1,1,0.038,0.995,1,1,1,0.995,1,1,1,0.025,0.037,6
"7",0.997,0.994,0.997,0.984,0.827,0.037,0.038,0.997,0.073,0.676,0.036,0.039,0.997,0.034,0.042,0.777,0.039,0.041,0.996,0.098,0.124,0.452,0.043,0.042,0.966,0.034,0.027,0.03,0.035,0.054,0.057,1,1,0.058,1,1,0.055,0.0217391304347826,1,1,0.0229166666666667,1,1,0.0541666666666667,0.776173285198556,1,1,0.152827918170878,0.744860943168077,1,0.998790810157195,0.118500604594921,0.0326481257557437,0.0374848851269649,7
"8",1,1,1,1,1,0.038,0.041,1,0.173,1,0.04,0.045,1,0.055,0.074,1,0.033,0.035,1,0.37,0.3,0.998,0.037,0.037,1,0.064,0.078,0.071,0.08,0.059,0.057,1,1,0.056,1,1,0.057,0.032,1,1,0.03,1,1,0.057,1,1,1,0.584258324924319,1,1,1,0.565789473684211,0.0425101214574899,0.0394736842105263,8
"9",1,1,1,1,1,0.052,0.046,1,0.596,1,0.065,0.062,1,0.162,0.339,1,0.051,0.05,1,0.944,0.845,1,0.067,0.061,1,0.324,0.487,0.234,0.204,0.062,0.042,1,1,0.043,1,1,0.045,0.022,1,1,0.022,1,1,0.043,1,1,1,0.997,1,1,1,0.996,0.043,0.044,9
"10",0.929,0.911,0.958,0.91,1,0.018,0.035,0.936,0.877,0.996,0.051,0.052,0.932,0.201,0.324,0.996,0.013,0.031,0.959,0.932,0.153,0.815,0.062,0.06,0.884,0.133,0.202,0.019,0.022,0.00813008130081301,0.051,1,1,0.049,1,1,0.058,0,1,0.923836389280677,0,1,0.918722786647315,0.0638606676342525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
